Stand_ID,Stand_CN
1,132728
10,30425
100,84694
1000,83927
10000,86559
10001,86559
10002,89133
10003,87155
10004,89714
10005,84526
10006,136223
10007,85837
10008,89503
10009,89503
1001,80562
10010,85690
10012,89133
10013,128156
10014,146448
10015,131191
10016,85690
10017,146629
10018,142283
10019,85711
1002,78955
10020,142331
10022,85711
10023,10726
10024,84945
10025,85711
10026,85374
10027,142312
10028,136223
10029,89371
1003,30596
10030,136223
10031,131551
10032,85690
10033,90050
10034,86601
10035,89714
10036,131551
10037,131726
10039,89503
1004,141573
10040,146714
10041,89133
10042,129792
10043,146262
10044,90592
10045,89714
10046,128686
10047,136223
10048,128059
10049,146714
1005,80999
10050,85690
10051,142331
10052,131025
10053,132448
10054,142331
10055,146714
10056,84945
10057,136223
10058,146714
10059,89133
1006,141592
10060,142312
10061,85711
10062,87477
10063,89371
10064,136223
10065,86559
10066,142331
10067,89133
10068,87477
10069,150367
1007,344
10070,89133
10071,150824
10072,86601
10073,89889
10074,142283
10075,142331
10076,89371
10077,86559
10078,85374
10079,88939
1008,317
10081,88478
10082,136223
10083,142283
10084,132448
10085,85690
10086,142331
10087,85711
10088,89714
1009,83939
10090,89959
10091,142283
10092,86559
10094,86559
10095,133810
10096,89714
10097,87477
10098,89714
10099,86265
101,30239
1010,323
10102,142283
10103,142390
10104,84526
10105,146343
10106,84951
10107,90354
10108,85001
10109,89959
10111,88894
10112,86559
10113,85374
10114,89371
10115,131191
10116,86559
10117,300
10118,86559
10119,88243
1012,78955
10120,86559
10121,89371
10122,90371
10123,85690
10124,89889
10125,89371
10126,87477
10127,146494
10128,85699
10129,84526
1013,317
10130,88894
10131,89371
10132,132448
10133,85374
10134,150723
10135,85690
10136,84526
10137,146507
10138,86559
10139,84502
1014,134328
10140,85027
10141,84526
10142,86559
10143,85690
10144,90354
10146,86559
10147,146507
10148,84526
1015,78950
10150,85690
10151,86559
10152,86032
10153,86559
10154,84526
10155,134196
10156,88894
10157,84526
10158,142459
10159,89371
1016,80999
10160,86032
10161,89336
10162,131191
10163,84526
10164,136994
10165,85374
10166,84526
10167,85001
10168,131726
10169,85690
1017,317
10170,86559
10171,131191
10173,86559
10174,85690
10175,86032
10176,84526
10177,85690
10178,89371
10179,86559
1018,80999
10181,89371
10182,84526
10183,85001
10184,131191
10185,87155
10186,135739
10188,128059
10189,28160
1019,30596
10190,131726
10191,146507
10192,84951
10194,86032
10195,86032
10197,128059
10198,142120
10199,84526
102,149719
1020,80999
10200,134349
10201,84526
10202,95357
10203,85001
10204,88271
10206,85001
10207,85001
10208,84526
10209,85001
1021,345
10210,146507
10211,84526
10212,85001
10213,88754
10215,146507
10216,146567
10217,85001
10218,142434
10219,130095
1022,317
10220,90578
10221,86559
10222,95158
10223,84951
10224,129948
10225,146706
10226,19097
10227,150723
10228,142354
1023,83939
10230,146507
10232,89121
10233,89121
10234,84526
10235,137022
10236,87477
10237,85001
10238,142374
10239,86601
1024,367
10240,150759
10241,129948
10242,146431
10244,85508
10246,146132
10247,89618
10248,85001
10249,88271
1025,150014
10250,87477
10251,85001
10253,88759
10254,146507
10255,146507
10256,150759
10257,22757
10258,142120
10259,134349
1026,367
10260,146507
10261,136062
10262,28070
10263,150845
10264,18845
10265,131191
10266,85001
10267,150447
10268,89371
10269,89162
1027,323
10270,146507
10271,86891
10272,85001
10273,86721
10274,89162
10275,95158
10276,88014
10277,87639
10278,85001
10279,89959
1028,306
10280,84526
10281,130095
10282,86721
10283,85001
10284,85001
10285,84526
10286,22757
10287,85001
10288,87477
10289,85001
1029,83939
10290,84526
10291,146583
10292,84526
10293,146507
10294,18629
10295,131726
10296,84526
10297,89121
10298,85001
10299,87639
103,107252
1030,83939
10300,85001
10301,146251
10302,89959
10303,89162
10304,85001
10305,85001
10306,85001
10307,85001
10309,131191
1031,317
10310,84526
10311,150845
10312,85374
10313,85001
10314,127418
10315,150845
10316,84526
10317,128865
10318,150759
10319,146507
10320,95217
10321,85679
10322,84526
10323,85001
10324,95217
10325,85001
10326,85001
10327,84526
10328,84526
10329,132509
1033,83939
10330,86601
10331,85001
10332,85001
10333,85001
10334,89121
10335,87477
10336,134349
10337,142062
10338,85001
10339,146454
1034,323
10340,85001
10341,18667
10342,132509
10343,85001
10344,146507
10345,85001
10346,89875
10347,85001
10348,84526
10349,150845
1035,328
10350,95357
10351,85001
10352,88516
10354,150759
10355,150759
10356,142477
10357,131191
10358,27848
10359,88078
1036,317
10360,84526
10361,85215
10362,28117
10364,150759
10365,95357
10366,128686
10367,88759
10368,88271
10369,84877
1037,323
10370,127636
10371,89121
10372,27788
10373,27848
10374,86032
10375,28099
10377,95232
10378,150661
10379,150661
1038,317
10380,27779
10381,86032
10382,150723
10383,150845
10384,86032
10385,27849
10386,142434
10387,95232
10388,150759
10389,136860
1039,344
10390,128094
10391,89121
10392,88271
10393,89121
10394,10683
10395,95357
10396,89121
10397,146233
10398,146454
10399,89121
104,1348
1040,83939
10400,150759
10401,150759
10402,28118
10403,89778
10404,88759
10405,88759
10406,146454
10407,84877
10408,150845
10409,18629
1041,80999
10410,18557
10411,84877
10412,150845
10413,22757
10414,27789
10415,84877
10416,88516
10417,150845
10418,142434
10419,84877
1042,323
10420,146532
10421,95232
10422,19097
10423,86601
10424,18518
10425,88078
10426,84877
10427,84877
10428,84877
10429,28117
1043,1481
10430,88271
10431,95383
10432,18629
10433,146532
10434,10683
10435,10606
10436,88271
10437,95232
10438,27907
10439,150845
1044,81015
10440,27849
10441,10597
10442,88759
10443,10683
10444,27907
10445,18525
10446,150613
10447,142434
10448,85360
10449,142374
1045,335
10450,150613
10451,85215
10452,85679
10453,127636
10454,27907
10455,128094
10456,88516
10457,150693
10458,27788
10459,28117
1046,128001
10460,142374
10461,88271
10462,10683
10463,88516
10464,88271
10465,150643
10466,18767
10467,150693
10468,142486
10469,84877
1047,335
10470,95232
10471,95158
10472,88516
10473,128094
10474,146567
10475,27788
10476,142434
10477,95232
10478,27850
10479,88271
1048,141800
10480,142434
10481,95232
10482,22757
10483,90621
10484,27824
10485,85360
10486,27824
10487,146629
10488,146525
10489,150845
1049,335
10490,28118
10491,88516
10492,19097
10493,84877
10494,18557
10495,127636
10496,19097
10497,88754
10498,18629
10499,27824
105,30241
1050,335
10500,85360
10501,133379
10502,85215
10503,146532
10504,146431
10505,136646
10506,300
10507,134349
10508,134349
10509,146431
1051,1481
10510,88105
10511,146431
10512,134349
10513,131726
10515,90354
10516,300
10517,130528
10518,134349
10519,134349
1052,335
10520,86549
10521,146407
10522,146343
10523,136646
10524,89371
10525,86549
10526,134349
10527,300
10529,130528
1053,81015
10530,86549
10531,146405
10532,136646
10533,150447
10534,84970
10535,134349
10536,131726
10538,132448
10539,134349
1054,128001
10540,131726
10542,146343
10543,134349
10544,300
10545,146431
10546,87639
10548,128059
10549,150447
1055,128001
10550,136646
10551,85001
10552,133904
10553,88496
10554,85508
10555,134349
10556,129535
10557,84970
10558,131191
10559,134349
1056,304
10560,134349
10561,89371
10562,134349
10563,90507
10564,150447
10565,89371
10566,146431
10567,84970
10568,134349
10569,88012
1057,128001
10570,134349
10571,130528
10573,89371
10574,134349
10575,133810
10576,300
10577,130528
10578,146431
10579,146343
1058,141573
10580,146431
10581,88012
10582,89371
10583,136646
10584,85508
10585,142120
10586,131726
10587,132448
10589,131726
1059,335
10590,131726
10591,88243
10592,306
10593,89875
10595,146431
10596,146431
106,84128
1060,335
10600,136646
10601,89371
10602,134349
10603,134349
10604,89371
10605,131726
10606,131726
10607,134349
10608,131726
10609,87639
1061,1481
10610,300
10611,130528
10612,89371
10613,131726
10614,146333
10615,131726
10616,128552
10617,146431
10618,129535
10619,300
1062,1481
10620,150447
10621,300
10622,88014
10623,131726
10624,134349
10625,89336
10626,134349
10627,134349
10629,84970
1063,128001
10631,300
10632,128059
10633,300
10634,90507
10635,89371
10636,131726
10637,146343
10638,300
10639,130528
1064,128001
10640,89371
10641,146667
10643,146431
10644,89371
10645,150836
10646,146431
10648,128059
10649,134349
1065,150289
10650,150759
10651,84526
10652,134349
10653,128059
10654,86549
10655,86559
10656,131726
10657,90404
10658,131726
10659,131726
1066,150289
10660,150723
10663,150759
10664,131726
10665,131726
10668,131726
1067,141470
10670,131726
10672,136646
10673,146667
10674,131726
10675,146431
10676,136646
10678,146631
10679,90404
1068,128001
10680,86559
10681,136646
10683,142459
10684,150723
