StandID,StandCN
1,132728
100,84694
10018,142283
10022,85711
10024,84945
10030,136223
10034,86601
10040,146714
10051,142331
10052,131025
10064,136223
10074,142283
10186,135739
102,149719
10202,95357
10213,88754
10218,142434
10253,88759
103,107252
10315,150845
10321,85679
10330,86601
10349,150845
10350,95357
10358,27848
10372,27788
10373,27848
10383,150845
10389,136860
10394,10683
10397,146233
104,1348
10403,89778
10404,88759
10407,84877
10409,18629
10412,150845
10415,84877
10424,18518
10425,88078
10426,84877
10428,84877
1043,1481
10432,18629
10437,95232
10439,150845
1044,81015
10441,10597
10442,88759
10445,18525
10449,142374
1045,335
10452,85679
1046,128001
10462,10683
1047,335
10475,27788
10476,142434
10478,27850
1048,141800
10484,27824
10485,85360
10487,146629
10489,150845
10492,19097
10499,27824
105,30241
1051,1481
1052,335
1053,81015
1057,128001
1058,141573
1059,335
106,84128
1060,335
1062,1481
1064,128001
1066,150289
1068,128001
1070,141800
1071,141470
1073,149604
1076,300
1081,1481
1082,135660
1088,300
1089,1481
109,1348
1090,1481
1091,79168
1092,141800
10937,90512
1095,83948
10967,146659
10974,142535
10987,146813
11,84128
11014,89371
11023,146397
1104,89773
11045,85374
1105,132993
11062,146689
11080,146397
11106,87639
1111,132010
11111,29556
11112,73785
11113,144973
11114,29429
11118,144973
11120,1147
11123,29888
11125,29888
11126,29829
11127,29429
11129,29541
1113,134216
11131,1147
11132,1050
11135,149274
11137,144973
11138,83895
11139,1050
11142,84921
11143,29429
11144,29556
11148,30070
11149,83115
1115,150513
11150,29564
11154,83895
11155,1053
11156,29429
11157,30070
11158,29888
11159,29429
11162,832
11164,149274
11167,29542
1117,84816
11172,83895
11174,1147
11179,29124
11181,107071
11182,83895
11183,30070
11184,83895
11185,1030
11187,1147
11191,1147
11197,30070
11200,1147
11204,1147
11206,29564
11209,30070
1121,88772
11210,75366
11211,149274
11212,29058
11215,149274
11217,30070
1122,128791
11220,107084
11224,30070
11226,1147
11229,30070
11230,29888
11232,1053
11234,1053
11236,29564
11237,29542
11240,83895
11241,79039
11243,144973
11246,30002
11247,149274
11248,145175
11252,29043
11257,86079
1126,134202
1127,132010
11274,129535
11276,129535
11277,86079
11288,129535
11292,142477
11295,129535
1130,150513
1133,136129
1134,128791
11388,146397
11389,146407
1139,129288
11399,142535
1141,150513
11416,85374
11432,90851
11438,135844
1144,134379
1147,142155
1149,132993
115,30310
1152,142145
1156,146279
1162,90488
1163,133458
1164,132010
1168,128791
117,30382
1170,150513
1171,85625
118,80115
1180,86635
1181,132993
1185,146279
1189,86635
119,149569
1191,86635
1194,84623
12,641
120,84694
1208,19226
1218,142301
122,30330
123,30241
124,149569
1241,86635
1246,86635
1258,142155
126,30310
1262,28100
127,1341
1273,133458
1276,28100
1279,89233
128,84128
1284,86601
1288,19226
129,14094
13,30425
130,149569
1305,141997
1308,84970
1314,89764
1319,136337
132,129580
1320,87762
1322,89764
1347,89764
1352,18518
1356,85135
136,84694
1366,84970
1368,84643
1378,90383
1382,18517
139,30382
1396,141997
14,84694
140,84694
1402,22757
1403,87762
1419,141997
142,14094
143,30425
1440,150184
1445,135080
1446,87762
1448,135080
145,13788
1450,135080
1468,150543
147,9364
1471,142096
1475,150446
148,137502
1480,150543
1485,150446
1489,86349
149,421
1498,150543
1515,146304
152,645
153,136624
1530,150543
1537,146279
154,24867
1549,87861
155,24896
1551,87861
156,79192
1560,142096
1564,88160
1565,83378
1569,134063
1576,26581
1577,145794
158,25190
1581,268
1582,26581
1585,268
1586,16417
1588,26581
159,14395
1590,9762
1591,26581
1593,26581
1595,246
1596,150319
1597,150319
1599,9762
160,137501
1600,268
1602,83378
1604,83378
1606,26581
1608,26581
1613,283
1615,208
1616,268
162,14203
1622,83378
1623,83378
1626,231
1628,231
1629,268
163,87170
1630,1961
1633,1961
1638,231
1645,1981
1646,150319
1647,257
1649,134063
165,21133
1652,1961
1656,26344
