stand_id,variant
1,PN
100,PN
10018,PN
10022,PN
10024,PN
10030,PN
10034,PN
10040,PN
10051,PN
10052,PN
10064,PN
10074,PN
10186,PN
102,PN
10202,PN
10213,PN
10218,PN
10253,PN
103,PN
10315,PN
10321,PN
10330,PN
10349,PN
10350,PN
10358,PN
10372,PN
10373,PN
10383,PN
10389,PN
10394,PN
10397,PN
104,PN
10403,PN
10404,PN
10407,PN
10409,PN
10412,PN
10415,PN
10424,PN
10425,PN
10426,PN
10428,PN
1043,PN
10432,PN
10437,PN
10439,PN
1044,PN
10441,PN
10442,PN
10445,PN
10449,PN
1045,PN
10452,PN
1046,PN
10462,PN
1047,PN
10475,PN
10476,PN
10478,PN
1048,PN
10484,PN
10485,PN
10487,PN
10489,PN
10492,PN
10499,PN
105,PN
1051,PN
1052,PN
1053,PN
1057,PN
1058,PN
1059,PN
106,PN
1060,PN
1062,PN
1064,PN
1066,PN
1068,PN
1070,PN
1071,PN
1073,PN
1076,PN
1081,PN
1082,PN
1088,PN
1089,PN
109,PN
1090,PN
1091,PN
1092,PN
10937,PN
1095,PN
10967,PN
10974,PN
10987,PN
11,PN
11014,PN
11023,PN
1104,PN
11045,PN
1105,PN
11062,PN
11080,PN
11106,PN
1111,PN
11111,PN
11112,PN
11113,PN
11114,PN
11118,PN
11120,PN
11123,PN
11125,PN
11126,PN
11127,PN
11129,PN
1113,PN
11131,PN
11132,PN
11135,PN
11137,PN
11138,PN
11139,PN
11142,PN
11143,PN
11144,PN
11148,PN
11149,PN
1115,PN
11150,PN
11154,PN
11155,PN
11156,PN
11157,PN
11158,PN
11159,PN
11162,PN
11164,PN
11167,PN
1117,PN
11172,PN
11174,PN
11179,PN
11181,PN
11182,PN
11183,PN
11184,PN
11185,PN
11187,PN
11191,PN
11197,PN
11200,PN
11204,PN
11206,PN
11209,PN
1121,PN
11210,PN
11211,PN
11212,PN
11215,PN
11217,PN
1122,PN
11220,PN
11224,PN
11226,PN
11229,PN
11230,PN
11232,PN
11234,PN
11236,PN
11237,PN
11240,PN
11241,PN
11243,PN
11246,PN
11247,PN
11248,PN
11252,PN
11257,PN
1126,PN
1127,PN
11274,PN
11276,PN
11277,PN
11288,PN
11292,PN
11295,PN
1130,PN
1133,PN
1134,PN
11388,PN
11389,PN
1139,PN
11399,PN
1141,PN
11416,PN
11432,PN
11438,PN
1144,PN
1147,PN
1149,PN
115,PN
1152,PN
1156,PN
1162,PN
1163,PN
1164,PN
1168,PN
117,PN
1170,PN
1171,PN
118,PN
1180,PN
1181,PN
1185,PN
1189,PN
119,PN
1191,PN
1194,PN
12,PN
120,PN
1208,PN
1218,PN
122,PN
123,PN
124,PN
1241,PN
1246,PN
1258,PN
126,PN
1262,PN
127,PN
1273,PN
1276,PN
1279,PN
128,PN
1284,PN
1288,PN
129,PN
13,PN
130,PN
1305,PN
1308,PN
1314,PN
1319,PN
132,PN
1320,PN
1322,PN
1347,PN
1352,PN
1356,PN
136,PN
1366,PN
1368,PN
1378,PN
1382,PN
139,PN
1396,PN
14,PN
140,PN
1402,PN
1403,PN
1419,PN
142,PN
143,PN
1440,PN
1445,PN
1446,PN
1448,PN
145,PN
1450,PN
1468,PN
147,PN
1471,PN
1475,PN
148,PN
1480,PN
1485,PN
1489,PN
149,PN
1498,PN
1515,PN
152,PN
153,PN
1530,PN
1537,PN
154,PN
1549,PN
155,PN
1551,PN
156,PN
1560,PN
1564,PN
1565,PN
1569,PN
1576,PN
1577,PN
158,PN
1581,PN
1582,PN
1585,PN
1586,PN
1588,PN
159,PN
1590,PN
1591,PN
1593,PN
1595,PN
1596,PN
1597,PN
1599,PN
160,PN
1600,PN
1602,PN
1604,PN
1606,PN
1608,PN
1613,PN
1615,PN
1616,PN
162,PN
1622,PN
1623,PN
1626,PN
1628,PN
1629,PN
163,PN
1630,PN
1633,PN
1638,PN
1645,PN
1646,PN
1647,PN
1649,PN
165,PN
1652,PN
1656,PN
1657,PN
1658,PN
1659,PN
166,PN
1660,PN
1663,PN
1665,PN
1666,PN
1668,PN
167,PN
1670,PN
1671,PN
1676,PN
1677,PN
1678,PN
168,PN
1681,PN
1684,PN
1688,PN
169,PN
1692,PN
1693,PN
1694,PN
1698,PN
1699,PN
17,PN
1702,PN
1705,PN
1706,PN
1708,PN
1709,PN
171,PN
1712,PN
1713,PN
1715,PN
172,PN
1720,PN
1721,PN
1726,PN
1727,PN
1729,PN
173,PN
1731,PN
1734,PN
1735,PN
1737,PN
174,PN
1740,PN
1742,PN
1743,PN
1748,PN
1749,PN
175,PN
1750,PN
1755,PN
1756,PN
1759,PN
176,PN
1760,PN
1761,PN
1764,PN
1766,PN
1767,PN
177,PN
1771,PN
1773,PN
1775,PN
1777,PN
1781,PN
1782,PN
1783,PN
1784,PN
1788,PN
1789,PN
179,PN
1792,PN
1793,PN
1795,PN
1797,PN
1799,PN
180,PN
1800,PN
1803,PN
1805,PN
1806,PN
1807,PN
1809,PN
181,PN
1810,PN
1811,PN
1813,PN
1816,PN
1818,PN
1819,PN
182,PN
1820,PN
1822,PN
1823,PN
1828,PN
1829,PN
183,PN
1832,PN
1833,PN
1834,PN
1838,PN
1839,PN
1840,PN
1841,PN
1843,PN
1844,PN
1849,PN
185,PN
1850,PN
1852,PN
1855,PN
1859,PN
186,PN
1860,PN
1862,PN
1863,PN
1865,PN
1867,PN
1869,PN
187,PN
1870,PN
1871,PN
1874,PN
1876,PN
1881,PN
1884,PN
1885,PN
1886,PN
189,PN
1890,PN
1893,PN
1896,PN
1898,PN
19,PN
190,PN
1900,PN
1901,PN
1903,PN
1904,PN
1907,PN
191,PN
1910,PN
1911,PN
1912,PN
1913,PN
1914,PN
1916,PN
1918,PN
192,PN
1920,PN
1923,PN
1924,PN
1925,PN
1926,PN
193,PN
1930,PN
1931,PN
1932,PN
1933,PN
1935,PN
1937,PN
1938,PN
1939,PN
1940,PN
1941,PN
1943,PN
1945,PN
1946,PN
195,PN
1952,PN
1957,PN
196,PN
1961,PN
1962,PN
1965,PN
1966,PN
1967,PN
1969,PN
197,PN
1972,PN
1974,PN
1976,PN
1977,PN
1978,PN
1979,PN
1981,PN
1982,PN
1985,PN
1988,PN
1989,PN
199,PN
1991,PN
1995,PN
1997,PN
1998,PN
1999,PN
2,PN
20,PN
200,PN
2000,PN
2002,PN
2003,PN
2008,PN
201,PN
2010,PN
2012,PN
2014,PN
2017,PN
2019,PN
202,PN
2022,PN
2023,PN
2024,PN
2025,PN
2026,PN
2027,PN
2028,PN
2030,PN
2031,PN
2032,PN
2033,PN
2034,PN
2036,PN
2037,PN
204,PN
2040,PN
2041,PN
2043,PN
2047,PN
205,PN
2050,PN
2051,PN
2052,PN
2053,PN
2056,PN
2059,PN
2061,PN
2064,PN
2067,PN
207,PN
2070,PN
2071,PN
2073,PN
2074,PN
2075,PN
2077,PN
2082,PN
2083,PN
2084,PN
2086,PN
209,PN
2097,PN
2098,PN
21,PN
210,PN
2100,PN
2104,PN
2106,PN
2108,PN
2109,PN
211,PN
2110,PN
2111,PN
2114,PN
2115,PN
2116,PN
2117,PN
212,PN
