StandID,StandCN
10858,142747
10861,146752
10864,138106
10884,28840
10885,85442
10891,146752
10898,28186
10900,20222
10902,28840
10917,18714
10921,142747
10925,19275
10938,146602
10939,93360
10955,138106
10962,135994
10978,132599
11110,150889
11119,29595
11121,1022
11128,107068
11130,107068
11136,1022
11147,79040
11152,107068
11153,1022
11163,29578
11165,1013
11169,107068
11170,83900
11173,107068
11177,107068
11178,107068
11180,29560
11190,107068
11193,107068
11195,107068
11196,107068
11198,107068
11207,29679
11213,1022
11216,133585
11218,29578
11219,1022
11222,79040
11223,73195
11245,1022
7107,132649
7109,80177
7406,80108
7409,30076
7410,13707
7411,25553
7412,132649
7413,132649
7416,1529
7417,94291
7418,82352
7420,21582
7423,94291
7428,94291
7432,132649
7433,128738
7437,9506
7438,1529
7439,82352
7440,80108
7444,94483
7445,132649
7447,132649
7448,80108
7449,13707
7450,24658
7452,14401
7456,21582
7457,132649
7459,25798
7460,9330
7461,80104
7462,1644
7463,132649
7464,14401
7465,82352
7466,21487
7468,82352
7469,82352
7470,25763
7473,94291
7474,15763
7478,685
7480,80108
7482,80108
7483,21582
7484,132649
7485,80108
7487,14401
7493,132761
7494,14401
7497,9330
7499,94291
7502,21582
7504,94291
7505,14401
7506,141381
7507,14401
7510,13678
7513,133938
7514,14401
7516,141473
7517,133938
7519,1644
7520,9429
7521,21487
7522,94582
7526,149509
7529,25763
7531,132649
7532,9330
7536,94483
7538,145731
7540,94483
7543,15837
7606,1768
7695,78936
7697,1768
7698,135965
7701,150209
7704,1768
7707,78936
7721,78936
7724,150209
7727,1768
7731,150209
7738,78936
7742,135965
7750,135965
7763,135965
7784,135965
7793,135965
7799,150209
7801,135965
7803,1768
7805,1768
7810,1768
7812,1223
7829,1768
7833,1768
8918,1768
9123,150460
9125,10298
9211,27968
9219,150459
9480,150558
9489,150558
