Stand_ID,Variant
9395,PN
9200,PN
9051,PN
9060,PN
9409,PN
9392,PN
9457,PN
8849,PN
9224,PN
8920,PN
8996,PN
8896,PN
8918,WC
8870,WC
9125,WC
10441,PN
10394,PN
10462,PN
10424,PN
10445,PN
10432,PN
10409,PN
9175,PN
9180,PN
8962,PN
9034,PN
10917,WC
9112,PN
9099,PN
10972,WC
9013,PN
10492,PN
9109,PN
10925,WC
10900,WC
10482,PN
10286,PN
10458,PN
10475,PN
10372,PN
10484,PN
10499,PN
10358,PN
10373,PN
10478,PN
9211,WC
8894,PN
9021,PN
9191,PN
10898,WC
10884,WC
10902,WC
8934,PN
9208,PN
10415,PN
10426,PN
10419,PN
10407,PN
10428,PN
9993,PN
9947,PN
10024,PN
10485,PN
11045,PN
11416,PN
9296,PN
10885,WC
9082,PN
10321,PN
10452,PN
10022,PN
9902,PN
11257,PN
11310,PN
11277,PN
8905,PN
9266,PN
10034,PN
10330,PN
9470,PN
9455,PN
9371,PN
8867,PN
11106,PN
9472,PN
9006,PN
9056,PN
9243,PN
9319,PN
8885,PN
10425,PN
9022,PN
9045,PN
8938,PN
9407,PN
10213,PN
10442,PN
10253,PN
10404,PN
9420,PN
9172,PN
9957,PN
8872,PN
9186,PN
11014,PN
10403,PN
8952,PN
9322,PN
10937,PN
11432,PN
9386,PN
10939,WC
10437,PN
10202,PN
10350,PN
8931,PN
11276,PN
11274,PN
11295,PN
11288,PN
9306,PN
9035,PN
8848,PN
8998,PN
10052,PN
10978,WC
9048,PN
8880,PN
9081,PN
9044,PN
9042,PN
8897,PN
9134,PN
8951,PN
8919,PN
9304,PN
9332,PN
9408,PN
10186,PN
11438,PN
10962,WC
10064,PN
10030,PN
9974,PN
10389,PN
9350,PN
10864,WC
10955,WC
9342,PN
9118,PN
9218,PN
9239,PN
9267,PN
9277,PN
9476,PN
9992,PN
10074,PN
10018,PN
9958,PN
9956,PN
10051,PN
10449,PN
10218,PN
10476,PN
10480,PN
11292,PN
10974,PN
11399,PN
10957,WC
10858,WC
10921,WC
10397,PN
8923,PN
9415,PN
11023,PN
11080,PN
11388,PN
11389,PN
10848,PN
10938,WC
10487,PN
10967,PN
10912,PN
9133,PN
11062,PN
10040,PN
10891,WC
10861,WC
10987,PN
9215,PN
9282,PN
9219,WC
10869,WC
8986,WC
9123,WC
9286,PN
9270,PN
9489,WC
9480,WC
10467,PN
10349,PN
10383,PN
10489,PN
10412,PN
10439,PN
10315,PN
11110,WC
5867,PN
1382,PN
1352,PN
6051,PN
5631,PN
5753,PN
5770,PN
5686,PN
5535,PN
5597,PN
1288,PN
1208,PN
1402,PN
6112,PN
1276,PN
1262,PN
5850,PN
5949,PN
5952,PN
5954,PN
5974,PN
5180,PN
5707,PN
5843,PN
5580,PN
5803,PN
6083,PN
6045,PN
6228,PN
6207,PN
1194,PN
1368,PN
1117,PN
5260,PN
5988,PN
5488,PN
5640,PN
5286,PN
1308,PN
1390,PN
1366,PN
1356,PN
1171,PN
5690,PN
6229,PN
5611,PN
5492,PN
5345,PN
5865,PN
5856,PN
6089,PN
5920,PN
6009,PN
6121,PN
5293,PN
5219,PN
5406,PN
6012,PN
5870,PN
5888,PN
5801,PN
5797,PN
1118,PN
1489,PN
6145,PN
5460,PN
5328,PN
5241,PN
2762,PN
1284,PN
5959,PN
5186,PN
5220,PN
5430,PN
5480,PN
5305,PN
5426,PN
5374,PN
5413,PN
1180,PN
1189,PN
1191,PN
1246,PN
1241,PN
1260,PN
1102,PN
1458,PN
1446,PN
1403,PN
1320,PN
5729,PN
1549,PN
1551,PN
5869,PN
5839,PN
5833,PN
5441,PN
5202,PN
5238,PN
5297,PN
5333,PN
5585,PN
5727,PN
5557,PN
5715,PN
5603,PN
5796,PN
5438,PN
5915,PN
1214,PN
1121,PN
5835,PN
5595,PN
5878,PN
6247,PN
5236,PN
1279,PN
1280,PN
5999,PN
6176,PN
5341,PN
6032,PN
6033,PN
5950,PN
5613,PN
5587,PN
6065,PN
2738,PN
5299,PN
1347,PN
1314,PN
1322,PN
1104,PN
6137,PN
5289,PN
5378,PN
1378,PN
6114,PN
5364,PN
6028,PN
5759,PN
5724,PN
5741,PN
6022,PN
5509,PN
5992,PN
5901,PN
5670,PN
5849,PN
5584,PN
6213,PN
6182,PN
5573,PN
5995,PN
5791,PN
1496,PN
1168,PN
1134,PN
1122,PN
6036,PN
1139,PN
2754,PN
5816,PN
5621,PN
1127,PN
1164,PN
1111,PN
2759,PN
5453,PN
5706,PN
1181,PN
1149,PN
1105,PN
5903,PN
1163,PN
1273,PN
1531,PN
2721,PN
6246,PN
6008,PN
1126,PN
1113,PN
1144,PN
5812,PN
5372,PN
5864,PN
5415,PN
2763,PN
1445,PN
1448,PN
1450,PN
1502,PN
1133,PN
5309,PN
5549,PN
6047,PN
5210,PN
5381,PN
1319,PN
1305,PN
1396,PN
1419,PN
1471,PN
1560,PN
1152,PN
1258,PN
1147,PN
5861,PN
5583,PN
5214,PN
5431,PN
1218,PN
5322,PN
6096,PN
5568,PN
6154,PN
5786,PN
6011,PN
5414,PN
2757,PN
5672,PN
5598,PN
5575,PN
6210,PN
6156,PN
1185,PN
1537,PN
1156,PN
1515,PN
5316,PN
6024,PN
6163,PN
6088,PN
5542,PN
5251,PN
5471,PN
6094,PN
5489,PN
2746,PN
5194,PN
5192,PN
2760,PN
2755,PN
5231,PN
5604,PN
5255,PN
5411,PN
5668,PN
5497,PN
5401,PN
5912,PN
5338,PN
5295,PN
6026,PN
5199,PN
5402,PN
5404,PN
5308,PN
5738,PN
5344,PN
5622,PN
5647,PN
5375,PN
6243,PN
5866,PN
6169,PN
5964,PN
6191,PN
5969,PN
5594,PN
5802,PN
5990,PN
5758,PN
5713,PN
5828,PN
5539,PN
5711,PN
5742,PN
1440,PN
1475,PN
1485,PN
1115,PN
1141,PN
1170,PN
1154,PN
1130,PN
1498,PN
1468,PN
1530,PN
1480,PN
1504,PN
6021,PN
5232,PN
5269,PN
5253,PN
5348,PN
2726,PN
5354,PN
5362,PN
6095,PN
5448,PN
5447,PN
5437,PN
5490,PN
5307,PN
6073,PN
5187,PN
2767,PN
5314,PN
6005,PN
5823,PN
6003,PN
6060,PN
6101,PN
5977,PN
