StandID,StandCN
10018,142283
10022,85711
10024,84945
10030,136223
10034,86601
10040,146714
10051,142331
10052,131025
10064,136223
10074,142283
10186,135739
10202,95357
10213,88754
10218,142434
10253,88759
10286,22757
10315,150845
10321,85679
10330,86601
10349,150845
10350,95357
10358,27848
10372,27788
10373,27848
10383,150845
10389,136860
10394,10683
10397,146233
10403,89778
10404,88759
10407,84877
10409,18629
10412,150845
10415,84877
10419,84877
10424,18518
10425,88078
10426,84877
10428,84877
10432,18629
10437,95232
10439,150845
10441,10597
10442,88759
10445,18525
10449,142374
10452,85679
10458,27788
10462,10683
10467,150693
10475,27788
10476,142434
10478,27850
10480,142434
10482,22757
10484,27824
10485,85360
10487,146629
10489,150845
10492,19097
10499,27824
10848,146558
10912,146659
10937,90512
10967,146659
10974,142535
10987,146813
11014,89371
1102,86635
11023,146397
1104,89773
11045,85374
1105,132993
11062,146689
11080,146397
11106,87639
1111,132010
1113,134216
1115,150513
1117,84816
1118,86188
1121,88772
1122,128791
11257,86079
1126,134202
1127,132010
11274,129535
11276,129535
11277,86079
11288,129535
11292,142477
11295,129535
1130,150513
11310,86079
1133,136129
1134,128791
11388,146397
11389,146407
1139,129288
11399,142535
1141,150513
11416,85374
11432,90851
11438,135844
1144,134379
1147,142155
1149,132993
1152,142145
1154,150513
1156,146279
1163,133458
1164,132010
1168,128791
1170,150513
1171,85625
1180,86635
1181,132993
1185,146279
1189,86635
1191,86635
1194,84623
1208,19226
1214,88772
1218,142301
1241,86635
1246,86635
1258,142155
1260,86635
1262,28100
1273,133458
1276,28100
1279,89233
1280,89233
1284,86601
1288,19226
1305,141997
1308,84970
1314,89764
1319,136337
1320,87762
1322,89764
1347,89764
1352,18518
1356,85135
1366,84970
1368,84643
1378,90383
1382,18517
1390,84970
1396,141997
1402,22757
1403,87762
1419,141997
1440,150184
1445,135080
1446,87762
1448,135080
1450,135080
1458,87290
1468,150543
1471,142096
1475,150446
1480,150543
1485,150446
1489,86349
1496,128791
1498,150543
1502,135291
1504,150543
1515,146304
1530,150543
1531,133740
1537,146279
1549,87861
1551,87861
1560,142096
2721,134129
2726,150834
2738,89720
2746,146629
2754,131553
2755,146629
2757,142532
2759,132380
2760,146629
2762,86601
2763,134996
2767,150834
5180,28117
5186,86601
5187,150834
5192,146629
5194,146629
5199,146714
5202,88226
5210,136243
5214,142283
5219,85711
5220,86601
5231,146629
5232,150834
5236,89233
5238,88226
5241,86601
5251,146628
5253,150834
5255,146629
5260,84945
5269,150834
5286,84945
5289,89852
5293,85711
5295,146714
5297,88226
5299,89720
5305,86601
5307,150834
5308,146714
5309,136243
5314,150834
5316,146448
5322,142390
5328,86601
5333,88226
5338,146629
5341,89708
5344,146714
5345,85634
5348,150834
