Stand_ID,Stand_CN,FPA_NPV,FSC_NPV,FPA_MSY,FSC_MSY
8002,7,40,35,0,0
7980,7,40,35,0,0
8063,7,40,35,0,0
8435,7,40,40,0,0
8420,7,40,35,0,0
8076,7,40,35,0,0
8489,7,40,40,0,0
8609,7,40,30,0,0
8497,7,40,40,0,0
8091,7,40,40,0,0
8286,7,40,30,0,0
8739,7,40,30,0,0
8521,7,40,40,0,0
8561,7,40,35,0,0
8247,7,40,35,0,0
8626,7,40,35,0,0
8222,7,40,35,0,0
8647,7,40,35,0,0
8251,7,40,35,0,0
7074,9,40,35,0,0
7402,11,40,40,0,0
7239,23,40,35,0,0
6961,23,40,40,0,0
7190,23,40,35,0,0
6613,23,45,35,0,0
7358,23,40,30,0,0
6910,23,40,40,0,0
7299,23,40,35,0,0
7185,23,40,35,0,0
7078,23,40,40,0,0
7349,42,40,35,0,0
7086,42,40,35,0,0
7326,42,40,40,0,0
7119,42,40,35,0,0
6882,42,40,40,0,0
7177,42,40,35,0,0
7031,42,40,40,0,0
7041,42,40,35,0,0
7240,42,40,35,0,0
7169,42,40,35,0,0
7324,42,40,35,0,0
7296,42,40,30,0,0
6967,42,40,30,0,0
6968,42,40,40,0,0
7019,42,45,40,0,0
7207,42,40,30,0,0
7196,42,40,35,0,0
6986,42,40,30,0,0
7315,42,40,35,0,0
7160,42,40,35,0,0
7341,42,40,40,0,0
7287,42,40,35,0,0
6904,42,40,30,0,0
6901,42,40,35,0,0
6605,42,40,40,0,0
7164,42,40,35,0,0
7339,42,40,35,0,0
7128,42,40,35,0,0
7085,42,40,35,0,0
7125,42,40,35,0,0
7046,42,40,35,0,0
6888,42,40,30,0,0
6918,42,40,35,0,0
7725,78,40,30,0,0
7703,78,40,35,0,0
7709,78,40,40,0,0
7791,79,40,40,0,0
7819,79,40,35,0,0
7720,79,40,35,0,0
7726,79,40,35,0,0
7802,79,40,40,0,0
7740,79,40,35,0,0
7798,79,40,40,0,0
7746,79,40,35,0,0
7762,79,40,40,0,0
7760,79,40,35,0,0
7752,79,40,35,0,0
7741,79,40,35,0,0
7806,79,40,40,0,0
7797,101,40,40,0,0
7786,105,40,40,0,0
7705,105,40,35,0,0
7732,105,40,35,0,0
7761,105,40,35,0,0
7765,105,40,35,0,0
7782,105,40,35,0,0
7813,105,40,40,0,0
7814,105,40,35,0,0
7827,105,40,40,0,0
7778,105,40,40,0,0
7834,146,40,40,0,0
7744,146,40,35,0,0
7825,146,40,35,0,0
7824,146,40,35,0,0
7808,146,40,40,0,0
7773,146,40,35,0,0
7745,146,40,35,0,0
7716,146,40,40,0,0
7712,146,40,35,0,0
7710,146,40,40,0,0
7708,146,40,40,0,0
7729,146,40,40,0,0
8629,251,40,35,0,0
7954,251,40,40,0,0
8625,251,40,40,0,0
8672,251,40,40,0,0
8218,251,40,40,0,0
7909,251,40,35,0,0
8816,251,45,40,0,0
8801,251,40,40,0,0
8723,251,40,40,0,0
8807,251,40,40,0,0
8555,251,40,40,0,0
8750,251,40,40,0,0
8418,251,40,40,0,0
8830,251,40,40,0,0
8799,251,40,40,0,0
8709,253,40,35,0,0
8593,253,40,35,0,0
8046,253,40,35,0,0
8817,253,40,40,0,0
8937,300,35,40,0,0
10619,300,40,40,0,0
8914,300,35,35,0,0
10621,300,40,40,0,0
10610,300,40,40,0,0
8924,300,40,30,0,0
9395,300,40,35,0,0
10576,300,40,40,0,0
9201,300,35,40,0,0
10631,300,40,40,0,0
10633,300,40,40,0,0
9200,300,40,40,0,0
10638,300,40,40,0,0
8875,300,40,35,0,0
9357,300,40,30,0,0
9242,300,35,40,0,0
9245,300,35,40,0,0
9248,300,35,35,0,0
9051,300,40,40,0,0
9398,300,40,40,0,0
10117,300,35,35,0,0
10506,300,45,40,0,0
9358,300,35,40,0,0
9060,300,40,40,0,0
9442,300,40,40,0,0
9893,300,35,40,0,0
9029,300,35,40,0,0
9898,300,35,40,0,0
9409,300,40,40,0,0
9392,300,40,40,0,0
9049,300,35,40,0,0
9457,300,40,40,0,0
9484,300,40,40,0,0
10516,300,40,40,0,0
10527,300,45,40,0,0
10544,300,40,40,0,0
9391,300,40,40,0,0
9347,306,35,30,0,0
8295,306,40,35,0,0
9366,306,35,40,0,0
9402,306,40,40,0,0
10592,306,40,40,0,0
9232,306,35,40,0,0
9352,306,35,40,0,0
8387,329,40,35,0,0
8353,329,40,40,0,0
9681,335,35,35,0,0
8147,342,40,40,0,0
8677,342,40,40,0,0
8480,342,40,40,0,0
8005,344,40,35,0,0
8576,344,40,30,0,0
7787,349,40,40,0,0
7925,349,40,40,0,0
8179,349,40,35,0,0
7960,349,40,40,0,0
7907,349,40,40,0,0
7608,349,40,40,0,0
7867,349,40,40,0,0
7880,349,40,40,0,0
7885,349,40,40,0,0
8308,349,40,30,0,0
7919,349,40,40,0,0
8849,355,40,30,0,0
9236,355,40,40,0,0
8904,355,40,40,0,0
9224,355,35,40,0,0
9184,355,40,35,0,0
9064,355,35,40,0,0
8920,355,35,40,0,0
8960,355,35,40,0,0
9157,355,35,30,0,0
8996,355,40,35,0,0
8896,355,35,40,0,0
8989,355,35,40,0,0
9179,355,35,35,0,0
7893,360,40,35,0,0
8644,360,40,40,0,0
8055,360,40,35,0,0
7902,360,40,35,0,0
7869,360,40,40,0,0
7841,360,40,35,0,0
8460,360,40,35,0,0
7840,360,40,40,0,0
7935,360,40,40,0,0
8359,360,40,40,0,0
8530,360,40,40,0,0
7955,360,40,35,0,0
7915,360,40,40,0,0
8161,367,40,35,0,0
7928,367,40,35,0,0
8304,368,40,35,0,0
8792,368,40,35,0,0
8733,369,40,40,0,0
8017,369,40,35,0,0
8141,369,40,40,0,0
8620,369,40,30,0,0
8143,369,40,35,0,0
8310,369,40,35,0,0
8476,369,40,35,0,0
7966,369,40,35,0,0
8146,369,40,40,0,0
8333,369,40,35,0,0
8077,369,40,35,0,0
7875,369,40,40,0,0
8737,369,40,30,0,0
8426,369,40,35,0,0
8741,369,40,40,0,0
8661,369,40,35,0,0
8301,369,40,40,0,0
8291,369,40,35,0,0
8022,369,40,35,0,0
8360,369,40,35,0,0
8477,369,40,40,0,0
8321,369,40,35,0,0
8099,369,40,40,0,0
8003,369,40,35,0,0
8715,369,40,40,0,0
8453,369,40,35,0,0
8450,369,40,40,0,0
8337,369,40,35,0,0
8322,369,40,35,0,0
8124,369,40,40,0,0
8203,369,40,40,0,0
8447,369,40,35,0,0
8350,369,40,35,0,0
8128,369,40,35,0,0
8318,369,40,35,0,0
8442,369,40,35,0,0
7975,369,40,35,0,0
8132,369,40,35,0,0
8655,369,40,30,0,0
8470,369,40,35,0,0
8433,369,40,35,0,0
8416,369,40,35,0,0
7984,369,40,35,0,0
7861,369,40,35,0,0
8599,369,40,30,0,0
8260,369,40,35,0,0
8258,369,40,35,0,0
7938,369,40,35,0,0
8407,369,40,35,0,0
7934,369,40,35,0,0
8377,369,40,35,0,0
8057,369,40,35,0,0
8181,369,40,35,0,0
8048,369,40,35,0,0
8516,369,40,35,0,0
8802,369,40,40,0,0
8378,369,40,40,0,0
8789,369,40,40,0,0
8220,369,40,35,0,0
7889,369,40,35,0,0
8213,369,40,40,0,0
8382,369,40,35,0,0
8777,369,40,40,0,0
8051,369,40,35,0,0
7860,369,40,40,0,0
8039,369,40,35,0,0
8136,369,40,40,0,0
8501,369,40,40,0,0
8670,369,40,40,0,0
8163,369,40,35,0,0
8280,369,40,40,0,0
7951,369,40,40,0,0
8166,369,40,40,0,0
8595,369,40,30,0,0
8524,369,40,35,0,0
8747,369,40,40,0,0
8159,369,40,35,0,0
8414,369,40,40,0,0
8409,369,40,40,0,0
8173,369,40,35,0,0
8174,369,40,35,0,0
8826,369,40,35,0,0
8176,369,40,35,0,0
8514,369,40,35,0,0
8586,369,45,40,0,0
8178,369,40,35,0,0
8267,369,40,40,0,0
8612,369,45,40,0,0
8712,370,40,40,0,0
6924,414,40,40,0,0
7289,488,40,35,0,0
6902,488,40,40,0,0
6545,522,40,35,0,0
6528,562,40,40,0,0
7478,685,45,40,0,0
7064,692,40,35,0,0
7376,693,40,40,0,0
7122,699,45,35,0,0
7251,699,40,35,0,0
7380,702,40,30,0,0
6936,768,40,40,0,0
6856,779,40,40,0,0
6808,779,40,40,0,0
6776,779,40,30,0,0
6771,779,40,35,0,0
6791,794,40,35,0,0
6789,794,40,30,0,0
6759,798,40,35,0,0
6740,826,40,40,0,0
11162,832,40,35,0,0
6327,998,40,40,0,0
6420,998,40,40,0,0
11165,1013,35,40,0,0
6305,1016,40,40,0,0
6424,1016,40,40,0,0
6318,1017,40,40,0,0
6388,1017,40,40,0,0
6384,1017,40,40,0,0
6334,1017,40,40,0,0
6332,1017,40,40,0,0
6365,1017,40,40,0,0
6381,1017,40,40,0,0
6342,1017,40,40,0,0
6322,1017,40,40,0,0
6406,1017,40,40,0,0
6407,1017,40,40,0,0
6376,1017,40,40,0,0
6308,1017,40,40,0,0
6306,1017,40,40,0,0
6354,1017,40,40,0,0
11219,1022,35,40,0,0
11153,1022,40,40,0,0
11136,1022,40,40,0,0
11213,1022,40,40,0,0
11121,1022,40,40,0,0
11245,1022,40,40,0,0
11185,1030,40,35,0,0
11132,1050,40,35,0,0
11139,1050,40,40,0,0
11155,1053,40,40,0,0
11233,1053,40,35,0,0
11232,1053,40,35,0,0
11234,1053,40,40,0,0
6383,1062,40,40,0,0
6312,1062,40,40,0,0
6405,1062,40,40,0,0
6419,1089,40,40,0,0
6422,1089,40,40,0,0
11120,1147,40,35,0,0
11174,1147,40,35,0,0
11187,1147,40,35,0,0
11200,1147,40,35,0,0
11204,1147,40,35,0,0
11131,1147,40,35,0,0
11208,1147,40,35,0,0
11191,1147,40,35,0,0
11226,1147,40,35,0,0
11231,1147,40,35,0,0
11244,1147,40,40,0,0
7812,1223,40,40,0,0
7198,1235,40,35,0,0
6761,1246,40,35,0,0
6762,1246,40,35,0,0
7291,1291,40,35,0,0
7227,1291,40,35,0,0
6966,1291,40,30,0,0
7192,1291,40,35,0,0
7009,1333,40,40,0,0
7024,1333,40,40,0,0
7139,1333,40,35,0,0
7131,1335,40,35,0,0
6958,1335,40,35,0,0
7271,1335,40,35,0,0
7355,1335,40,35,0,0
6932,1335,45,40,0,0
7360,1335,40,30,0,0
6899,1335,40,35,0,0
7285,1335,40,35,0,0
7573,1465,40,35,0,0
7570,1465,40,35,0,0
7635,1465,40,35,0,0
7630,1465,40,35,0,0
7654,1467,40,40,0,0
7647,1467,40,40,0,0
7586,1467,40,35,0,0
7624,1479,40,40,0,0
7655,1479,40,40,0,0
7628,1479,40,40,0,0
7615,1487,40,40,0,0
7669,1487,40,35,0,0
7544,1487,40,35,0,0
7438,1529,45,40,0,0
7416,1529,45,35,0,0
7519,1644,45,35,0,0
7462,1644,45,40,0,0
7455,1644,40,40,0,0
7441,1644,45,45,0,0
7780,1695,40,40,0,0
7794,1726,40,35,0,0
7831,1726,40,35,0,0
7810,1768,40,40,0,0
7727,1768,40,40,0,0
7803,1768,35,40,0,0
7792,1768,40,40,0,0
7805,1768,40,40,0,0
7696,1768,35,40,0,0
7606,1768,40,40,0,0
7755,1768,40,40,0,0
7706,1768,35,40,0,0
7833,1768,35,40,0,0
7829,1768,40,40,0,0
7702,1768,35,40,0,0
7704,1768,35,40,0,0
7818,1768,40,40,0,0
7774,1768,40,40,0,0
7715,1768,35,40,0,0
7718,1768,35,40,0,0
8918,1768,35,45,0,0
7822,1768,40,40,0,0
7821,1768,40,40,0,0
7697,1768,35,40,0,0
7737,1768,40,40,0,0
7020,1831,45,40,0,0
7011,1831,45,30,0,0
6995,1831,45,30,0,0
8346,1831,40,40,0,0
7043,1831,45,35,0,0
