parcel,year,cumulative_mbf,npv_total,aboveground_total_live,aboveground_merch_live,belowground_live,standing_dead,forest_down_dead_wood,forest_floor,forest_shrub_herb,total_stand_carbon,total_removed_carbon,carbon_released_from_fire,products,landfill,energy,emissions,merch_carbon_stored,merch_carbon_removed,tcuft,mcuft,rtcuft,rmcuft,bdft,rbdft,nfv_total,total_undiscounted_cost,total_discounted_cost,discounted_revenue,undiscounted_revenue,rx
1,2014,15.87771889,6359.791291,9.164921457,6.352363289,2.16435079,0.067171796,14.41120506,7.546139071,0.804618834,42.00967096,27.97275827,6.78006006,18.34224809,0,4.031730395,3.604614262,18.34224809,25.97859316,5447.72485,5037.559997,4313.962687,4035.008884,19351.69226,15889.76311,6913.791996,5619.614062,5579.388857,12033.17027,12634.83366,BAU
1,2019,18.68080662,7120.330429,5.686210431,3.245627186,1.073176675,0.073211214,9.893121709,6.578777731,0.949987503,32.21071868,5.628853087,2.871935495,17.57396498,2.015118805,6.002711684,5.47578741,19.58908376,31.06758292,1415.377206,1293.229512,853.9049327,782.3075726,4657.563719,2803.088129,7968.379814,6803.312058,6476.928413,13690.79907,14901.98517,BAU
1,2024,18.9332552,7089.215163,6.90505133,3.852142929,1.531414983,0.105399502,8.056472286,6.320127381,0.490513132,29.94474808,0.424750441,0.164389356,14.31255009,3.638783492,6.98577002,6.534412328,17.95133372,31.47151595,829.0202555,667.8638802,64.29659024,61.22385989,2493.466706,252.7531263,7911.378966,7083.309083,6625.946941,13804.0988,15155.39276,BAU
1,2029,19.09914203,7046.452604,10.69092219,4.597973893,2.555179674,0.149322856,6.852445103,6.269230798,0.22071041,32.11831688,0.345556958,0.149524452,12.24843981,4.651888085,7.597831715,7.270825657,16.90032792,31.76898559,1266.465826,771.4577545,53.11542432,46.63783738,2944.958101,165.8868263,7812.840197,7339.988332,6729.04391,13860.13773,15351.83827,BAU
1,2034,19.48156863,7047.697849,19.3203941,11.40991021,4.224431541,0.199533459,5.915127296,6.338728238,0.207201126,40.75435995,0.700265872,0.21854673,11.17178506,5.315875808,8.048952038,7.875005634,16.48766107,32.4116188,2407.784686,1896.316034,107.3187241,99.28927997,3430.311735,382.4266012,7814.56473,7668.355199,6834.461875,13959.147,15719.58636,BAU
1,2039,20.59116333,7140.226976,27.38597571,18.29605797,6.026902605,0.235556097,5.222405625,6.500130425,0.225992275,49.77596999,1.823782975,0.45222589,11.23211442,5.827133529,8.547989191,8.548360474,17.05924789,34.15559755,3581.264252,3144.347644,276.5462391,264.9631949,3648.841086,1109.59472,8153.321491,8240.747226,6987.168862,14196.39069,16672.55517,BAU
1,2044,20.64948686,7109.791105,38.04501318,26.16868078,8.390851073,0.53833174,4.961965587,6.597515691,0.21587285,62.22780453,0.086936184,0,10.07397272,6.339900624,8.824161689,9.001942083,16.41387306,34.23997706,4696.277062,4130.693003,13.75566461,13.34126407,6706.666385,59.12440985,8008.366424,8460.384208,7023.907406,14194.36458,16792.0344,BAU
1,2049,20.98091171,7107.245992,48.10917819,35.09724693,10.5382983,1.433976747,4.897984811,6.779342427,0.198595648,75.16111916,0.622460939,0.12933738,9.531260598,6.728202789,9.10623315,9.457359942,16.25946363,34.82305668,6110.944039,5598.368322,81.76558084,77.40621034,20052.55837,331.4248583,7991.094828,8771.035003,7067.851424,14226.97935,17130.18788,BAU
1,2054,42.90171405,8424.31698,15.43757063,11.22631248,3.334591737,0.392697522,6.284665362,8.402147783,0.807375263,46.99470028,36.72620751,5.146101306,33.40332389,7.074461356,13.92864213,14.43733646,40.47778501,68.84376315,7449.688857,6868.20885,5503.91292,5100.795566,28643.68006,21920.80225,18056.17864,16170.24528,8105.104214,16571.89744,34633.51591,BAU
1,2059,48.77591258,8684.238839,7.998096815,5.186801039,1.482134238,0.20184621,5.238889252,6.469822328,0.951340181,34.93700013,9.987273671,1.683200156,34.03492203,9.956419186,16.59981105,17.42887594,43.99134117,78.02002771,2407.900279,2209.661833,1517.684745,1393.470598,8828.869177,5874.198477,20592.58479,18337.6064,8336.582781,17054.94362,39378.6078,BAU
1,2064,49.09700963,8682.448672,9.222226241,5.921095257,1.923170951,0.243963744,4.061459983,5.908181795,0.506348659,32.16344119,0.523903269,0.091061198,28.93586926,12.52627817,17.92256556,19.12463514,41.46214739,78.50934713,1169.585193,1004.261274,78.85597766,73.74211016,3617.439834,321.097064,20568.36076,18643.50515,8355.54793,17064.32263,39698.59103,BAU
1,2069,49.35939115,8679.26621,12.56563826,6.620750325,2.837464066,0.252906603,3.367167321,5.848331591,0.229343361,33.56435931,0.58965566,0.115185754,25.53918974,14.23993336,18.83031222,20.40136292,39.77912312,79.01079749,1570.596193,1114.000998,79.77768001,72.0497504,4257.507183,262.3815213,20515.75356,18933.34106,8368.881892,17067.84918,39977.62443,BAU
1,2074,49.80671327,8680.967694,20.35054286,12.84551106,4.367183709,0.265073351,2.874502646,5.897669649,0.209130012,41.02146246,0.843211477,0.150069396,23.33769721,15.44905814,19.51645056,21.46091748,38.7867555,79.76412307,2592.561537,2132.800102,120.5178103,110.8892461,5197.151299,447.3221085,20548.36649,19284.48052,8382.239612,17077.05652,40402.43755,BAU
1,2079,50.8767446,8693.379643,28.0631388,19.28448004,6.095601452,0.259473569,2.643602688,6.040921617,0.228482296,49.48338146,1.70661974,0.26932944,22.29926264,16.40042797,20.17207472,22.49771441,38.69969056,81.36947949,3697.319046,3276.562433,258.6344022,243.4469921,5551.784043,1070.031306,20868.29069,19843.00108,8401.110592,17103.20481,41320.19673,BAU
1,2084,51.03576237,8690.43312,38.49179711,26.94391237,8.394950873,0.301335923,2.609595208,6.108841686,0.216511797,61.15185154,0.22978937,0,20.42526023,17.25832773,20.59971634,23.30800537,37.6835881,81.59130946,4818.085439,4271.140536,36.16421017,34.90984009,7643.865302,159.017768,20768.70299,20087.37227,8405.391691,17100.01228,41499.66025,BAU
1,2089,51.2902233,8689.202253,48.77106415,35.9458258,10.59325388,1.068959476,2.700578484,6.275796919,0.198747568,73.94543483,0.39627528,0.059380401,19.00848058,17.94841516,20.95682435,24.05120379,36.95689578,81.96492336,6212.92683,5707.220036,60.58598866,57.13618749,20395.09388,254.4609189,20714.79453,20368.92454,8409.555689,17099.17388,41763.22096,BAU
1,2094,72.46186401,8869.770566,17.51346606,13.15144159,3.714259314,0.499010756,4.646472447,7.856799355,0.807274859,47.90491671,34.93543668,4.420381007,41.16909513,18.53875512,25.5983776,29.08456658,59.70785074,114.3907954,7547.632321,6987.472815,5297.734851,4918.470937,29439.5646,21171.64044,30428.90241,27525.95723,8550.990704,17417.94346,58666.33229,BAU
