condid,siteindex,site_baseage,stand_age,ba,df_ba,tpa,bdft,tcuft,topht,df_pctba,siteclass,qmd
12832258010497,105,100,8,6.776166413,6.776166413,81.11919184,210.9867049,96.04217881,29.5,1,4,3.913510702
15014185010497,107,100,85,307.1535948,277.6278102,287.5832626,42737.7014,12865.24061,119.7857143,0.903872899,4,13.99369164
15015351010497,94,100,25,47.42984763,45.22541818,378.2331041,,528.8753597,40.54545455,0.953522316,5,4.794931399
15019263010497,71,100,20,57.31715433,50.54516128,904.9301993,,308.3564427,34.65217391,0.881850501,5,3.407776246
15019264010497,71,100,106,55.79676425,55.79676425,241.2074746,3400.568938,1153.836621,72.75,1,5,6.512465388
15020097010497,87,100,130,297.274733,274.472157,274.1333115,43170.62678,10424.18168,99.38461538,0.923294604,5,14.10049616
15021161010497,141,100,85,255.3227687,240.6449138,198.3107506,65565.79796,13669.73115,168.9230769,0.94251255,3,15.36412902
15021942010497,101,100,117,274.4772926,246.4812817,130.9202239,45169.73338,11468.0534,131.5,0.898002452,4,19.60587109
15022134010497,104,100,80,176.9654304,144.5406442,1129.575123,26031.88203,5645.902413,71.25,0.816773332,4,5.359483777
15023045010497,102,100,25,73.97802254,69.05618222,440.8262945,476.8972708,1013.685784,41.40625,0.933468885,4,5.546945709
15023311010497,69,100,255,302.6279971,277.3466741,171.5899158,38266.27847,9600.983822,109.625,0.916460726,5,17.982289
15023520010497,100,100,44,126.896969,111.9510315,195.8013703,11085.01517,3792.817124,79.95454545,0.882219901,4,10.90069185
15035347010497,89,100,28,100.8680322,87.53476983,1428.923043,941.966977,865.3826179,40.57692308,0.867814787,5,3.597565056
15039448010497,88,100,81,266.8988795,241.2888631,343.4452682,31771.67621,8433.148387,90.9,0.904045995,5,11.93660736
15039866010497,123,100,45,56.2953783,50.34562901,119.2096607,440.287258,1258.495486,39.06666667,0.894311941,4,9.3050122
15041798010497,102,100,38,179.8733138,152.1049606,308.6688388,14653.25724,4452.923974,74.9375,0.845622719,4,10.33649445
15042328010497,92,100,60,382.2740333,361.2964398,206.6124092,20871.24242,15383.49061,99.66666667,0.9451242,5,18.41812857
15042575010497,103,100,115,50.35603398,50.35603398,14.24477099,9619.535429,1955.749797,124.25,1,4,25.45858872
15043582010497,97,100,135,96.48057362,96.48057362,13.988632,23293.01438,4575.824126,159.6153846,1,4,35.56056214
15043769010497,89,100,60,191.7617587,177.8963142,879.8424688,8883.245358,4350.145215,67.44736842,0.927694423,5,6.321422872
15044092010497,118,100,91,140.8800039,116.8781421,39.42388989,13670.04709,5113.945565,158.1666667,0.829629038,4,25.59653876
15059556010497,125,100,27,140.4632936,123.9458738,233.5335175,8126.20658,3904.64775,70.82758621,0.882407572,3,10.5013012
15061281010497,120,100,1,32.74069442,29.32584971,30.09023,3314.349737,983.6585435,79.2,0.895700297,4,14.12431815
15061472010497,126,100,20,166.0194558,162.5342926,554.952522,1080.231687,3751.079149,48.7,0.979007502,3,7.406071153
15061873010497,118,100,43,159.2985085,159.2985085,103.3550384,24145.01728,5838.289594,102.25,1,4,16.81033353
15062772010497,121,100,23,185.1854447,182.7900541,287.7272141,6585.112088,5136.766457,58.02272727,0.987064909,4,10.8629869
15063031010497,126,100,29,160.1967813,151.0141343,303.9854071,11899.93909,4707.281258,77.31707317,0.942678955,3,9.82962222
15067896010497,142,100,38,201.1458214,201.1458214,138.9851036,32819.82089,7553.180732,103.5,1,3,16.28949729
15068121010497,132,100,15,123.2934365,117.648163,273.5868663,4669.480575,2676.199398,57.30232558,0.9542127,3,9.089890637
15073667010497,107,100,45,100.8904392,99.42081354,266.8797451,11411.65864,3230.76424,84.94117647,0.985433449,4,8.325369185
15080143010497,122,100,26,122.7721813,117.467448,261.4274501,6409.13802,2908.907298,62.475,0.956792058,4,9.2792034
15082288010497,116,100,13,102.8297168,40.35587638,382.5428783,6470.822042,3207.005491,44.76470588,3207.005491,4,7.02029822
15082770010497,70,100,170,218.2547386,166.028167,1187.871967,27315.29814,6308.604135,109.6923077,6308.604135,5,5.804079147
15082771010497,70,100,45,2.970450459,2.970450459,12.27489409,,43.30489347,47,43.30489347,5,6.660986935
15083000010497,103,100,20,80.77167811,22.20835049,1292.865927,141.15104,578.4811978,34.26666667,578.4811978,4,3.38445785
15083002010497,103,100,10,6.506437167,6.506437167,6.086561608,,297.7886969,,297.7886969,4,13.99980256
15084785010497,123,100,12,105.578907,78.36586896,756.0539004,698.7618755,1460.934247,44.95555556,1460.934247,4,5.059976544
15085147010497,94,100,75,65.93183,65.93183,20.2566203,12121.30998,2519.906942,129.5,2519.906942,5,24.42870096
