Source,origin,ID,si100,si50,siteclass,age,tcuft,bdft,topht,ba,tpa,qmd
Schumacher_1930,,Schumacher_1930_60,,60,5,30,,,39,,,
Schumacher_1930,,Schumacher_1930_60,,60,5,40,2300,,50,,,
Schumacher_1930,,Schumacher_1930_60,,60,5,50,3650,,60,205,1033,6
Schumacher_1930,,Schumacher_1930_60,,60,5,60,4800,,68,214,790,7
Schumacher_1930,,Schumacher_1930_60,,60,5,70,5700,,74,222,643,8
Schumacher_1930,,Schumacher_1930_60,,60,5,80,6400,,79,228,530,8.9
Schumacher_1930,,Schumacher_1930_60,,60,5,90,6950,,83,233,445,9.8
Schumacher_1930,,Schumacher_1930_60,,60,5,100,7400,,86,238,378,10.7
Schumacher_1930,,Schumacher_1930_60,,60,5,110,7700,,89,242,324,11.7
Schumacher_1930,,Schumacher_1930_60,,60,5,120,7950,,92,245,282,12.6
Schumacher_1930,,Schumacher_1930_60,,60,5,130,8150,,96,248,254,13.4
Schumacher_1930,,Schumacher_1930_60,,60,5,140,8350,,98,250,230,14.1
Schumacher_1930,,Schumacher_1930_60,,60,5,150,8500,,99,251,212,14.7
Schumacher_1930,,Schumacher_1930_60,,60,5,160,8600,,100,252,198,15.3
Schumacher_1930,,Schumacher_1930_80,,80,4,30,3300,,54,198,1080,5.8
Schumacher_1930,,Schumacher_1930_80,,80,4,40,5000,,68,223,780,7.2
Schumacher_1930,,Schumacher_1930_80,,80,4,50,6400,,80,237,601,8.5
Schumacher_1930,,Schumacher_1930_80,,80,4,60,7600,,89,249,475,9.8
Schumacher_1930,,Schumacher_1930_80,,80,4,70,8550,,98,260,382,11.2
Schumacher_1930,,Schumacher_1930_80,,80,4,80,9350,,104,271,313,12.6
Schumacher_1930,,Schumacher_1930_80,,80,4,90,10000,,110,280,260,14.1
Schumacher_1930,,Schumacher_1930_80,,80,4,100,10500,,114,288,225,15.3
Schumacher_1930,,Schumacher_1930_80,,80,4,110,11000,,118,294,193,16.7
Schumacher_1930,,Schumacher_1930_80,,80,4,120,11400,,122,298,170,17.9
Schumacher_1930,,Schumacher_1930_80,,80,4,130,11700,,125,302,152,19.1
Schumacher_1930,,Schumacher_1930_80,,80,4,140,12000,,128,305,138,20.1
Schumacher_1930,,Schumacher_1930_80,,80,4,150,12300,,130,308,124,21.3
Schumacher_1930,,Schumacher_1930_80,,80,4,160,12500,,132,309,113,22.4
