"CaseID","StandID","Year","SP1","SP2","BA_FT1","BA_FT2","PERBA1","PREBA2"
"1aeb12c3-32ee-46bd-808e-4545f5d83d43","1200453050303100826970001",2014,20.00,20.00,148.65,148.65,0.33,0.33
"5a35691a-4086-4c34-b2a6-72021703a4cd","1200453050303100826970002",2014,20.00,0.00,40.33,255.30,0.15,1.00
"f737b133-d78c-4e4e-954a-3b82a00b42ff","1200453050306900574110001",2014,22.00,16.00,18.70,10.52,0.63,0.36
"3cd19d81-3ef9-46cc-a073-3a51d5cd4435","1200541050600900672630001",2014,22.00,0.00,44.89,57.39,0.78,1.00
"8cd4786e-4d8d-48a1-917b-c034f77fe284","1200541050600900672630002",2014,18.00,0.00,176.84,395.19,0.44,0.99
"686d1e2e-8f7e-4249-bade-4d3d2c3fe285","1200541050601900763680001",2014,16.00,0.00,37.15,40.16,0.92,1.00
"b0d081e1-a8b8-4ac6-86aa-f4984deb2a3e","1200541050601900763680002",2014,16.00,21.00,53.59,28.41,0.65,0.34
"3f723902-b8e5-49a1-8d7c-6297f66b0b84","1200541050603900529790001",2014,21.00,0.00,37.49,37.49,1.00,1.00
"7e9738fd-54d3-4fc7-b2b6-5997e75734a5","1200541050603900789500001",2014,16.00,0.00,201.51,216.16,0.93,0.99
"749b06fa-7698-46cb-85e6-ca6920e30a8d","1200541050604100561960001",2014,19.00,19.00,148.76,148.76,0.61,0.61
"22b60f76-d6ba-4ed0-a275-7b8b7e4469cb","1200553050403100567870001",2014,20.00,0.00,288.45,376.46,0.76,1.00
"3358546c-b7bc-4e41-ab39-ebb1cc733282","1200553050403100588900001",2014,1.00,1.00,186.86,186.86,0.47,0.47
"9ddacd9a-cc60-4f86-90c8-405f3530555f","1200553050403100607310001",2014,1.00,20.00,332.10,37.79,0.89,0.10
"ea7bc4e1-56a2-4011-9775-2c4e80082a0a","1200553050403100731790001",2014,19.00,19.00,134.28,134.28,0.32,0.32
"52a73038-6daa-47cb-b6cf-cf58c7d89c91","1200553050404500595540001",2014,16.00,0.00,251.25,331.27,0.75,1.00
"3a8518cd-6537-4ffd-ac90-b4742e7d7b28","1200641010601900791340001",2014,21.00,21.00,71.03,71.03,0.31,0.31
"7c88c147-a654-40b6-804c-573b5418726f","1200641010601900895600001",2014,19.00,19.00,97.17,97.17,0.30,0.30
"243c2e1e-8347-46fb-8036-6a3b852ea6c8","1200641010601900895600002",2014,16.00,19.00,298.73,60.35,0.83,0.16
"2078abea-5b4e-4ae9-84d5-5c7eb17dd61f","1200641010601900917760001",2014,6.00,19.00,239.65,0.49,0.99,2.06103827804327e-03
"80e37095-ad32-49f9-9bdc-00142a7e915e","1200641010603900513640001",2014,16.00,22.00,144.09,8.71,0.92,0.05
"41f3f034-0696-4a8d-bb6a-6caa51c80310","1200641010603900563890001",2014,16.00,21.00,39.54,35.30,0.40,0.36
"47d23030-0add-4a78-bb26-7ecd292e6ae8","1200641010603900563890002",2014,19.00,19.00,238.71,238.71,0.37,0.37
"6a3ad586-4a45-4f26-b6f5-f408379dd691","1200641010603900723440001",2014,22.00,0.00,54.37,133.03,0.40,1.00
"3f45fab5-40d9-40a3-85eb-7363a32a1040","1200641010603900724460001",2014,16.00,0.00,561.39,561.39,1.00,1.00
"7b1aaa28-942a-41a2-bb1d-921fdcaf4a8e","1200641010603900741010001",2014,16.00,16.00,441.10,441.10,0.98,0.98
"9c14387a-653f-4d07-97b3-71e9ac92f107","1200641010603900760000001",2014,16.00,0.00,173.08,224.75,0.77,1.00
"1bd2c066-5e1c-41ef-850d-2d0c84f160c8","1200641010603900797820001",2014,16.00,0.00,173.49,177.59,0.97,1.00
"2ea231c7-d92d-47f2-a514-51cbe06a0b46","1200641010603900957900001",2014,16.00,0.00,156.35,245.76,0.63,0.99
"3c545b04-da1f-47ad-a3c1-83332b733218","1200641010603900967300001",2014,16.00,0.00,280.75,280.75,1.00,1.00
"7d4f7c78-c7bd-49ff-b5e3-f57b222f5dd0","1200641010604100648170001",2014,19.00,0.00,146.37,186.19,0.78,1.00
"2ad33419-032d-4e8b-a0aa-059faecb7502","1200641010604100778670001",2014,16.00,0.00,56.20,74.83,0.75,1.00
"560031d1-cf82-466f-bb37-7d2ea3a24ad1","1200641010604100849540001",2014,6.00,0.00,42.16,87.61,0.48,1.00
"2076d9b2-60d2-43ce-aba4-37bab8528d2d","1200641010604100973740001",2014,16.00,0.00,74.75,98.12,0.76,1.00
"f5d278f5-1bb4-4b59-90e1-30f073f11e14","1200641010605700773660001",2014,16.00,16.00,221.31,221.31,1.00,1.00
"5150858e-15e2-4515-bb94-980cfadd65c1","1200641010605700773660002",2014,22.00,0.00,66.00,66.00,1.00,1.00
"408a2418-7d2d-46ae-8773-a531a4bab29f","1200641050700300587890001",2014,16.00,16.00,16.37,16.37,0.71,0.71
"5666db33-6777-47f1-b221-79a3c7c6f486","1200641050700300653020001",2014,16.00,0.00,31.68,31.68,0.99,0.99
"e16947f3-4f31-477d-87ba-6ba320e71422","1200641050700300703960001",2014,16.00,0.00,167.59,206.35,0.81,0.99
"1b85d807-0315-43c1-896a-551d13564f29","1200641050700300909870001",2014,16.00,21.00,194.47,43.53,0.76,0.17
"daa12cdf-2512-4304-9712-467bda1b4e4d","1200641050700300911000001",2014,16.00,0.00,192.86,222.85,0.86,1.00
"78c940f9-37c0-4277-852f-0dcded5f5a8a","1200641050700300973590001",2014,39.00,0.00,99.65,103.67,0.96,1.00
"616c2905-655b-4bd5-b0cc-0f0bccc14502","1200641050700700609140001",2014,7.00,0.00,111.57,168.91,0.66,0.99
"f85d06b7-6e6a-4e60-9484-ee5a4e0b306d","1200641050700700616240001",2014,16.00,0.00,57.52,81.37,0.70,1.00
"2c748bf8-8fc4-4522-acbb-4b4cd79b55e8","1200641050700700661320001",2014,16.00,0.00,58.43,86.99,0.67,0.99
"9abc7c26-0ed9-425c-84af-de403f3d6286","1200641050700700761360001",2014,19.00,0.00,206.18,208.17,0.99,1.00
"6a8092bb-009e-4319-bc0e-39150492aae7","1200641050700700832580002",2014,19.00,22.00,75.66,47.20,0.61,0.38
"34b8c4fa-eafd-4bdc-a64a-7b1201211923","1200641050700700846170001",2014,19.00,19.00,135.89,135.89,0.74,0.74
"bb478a58-ba25-4f0c-9f7f-def60fe10cb8","1200641050700700918510001",2014,16.00,0.00,150.27,159.79,0.94,1.00
"0bda7ce5-4e5d-4d9c-a75c-65c619275e67","1200641050700700918510002",2014,22.00,0.00,172.78,180.37,0.95,1.00
"3f04f1b1-33ff-4d38-a4ac-f8fedfe09bd8","1200641050700700929370001",2014,19.00,19.00,159.46,159.46,0.72,0.72
"7c4742b6-b0f9-40a2-b5f6-037054a4264d","1200641050700900507400001",2014,16.00,0.00,74.69,92.68,0.80,1.00
"58d13bd5-0810-4085-8122-3aa7d6513178","1200641050700900519260001",2014,16.00,0.00,181.40,181.40,1.00,1.00
