"","Variant","Stratum_1_Species_1","Max","SDI98","SDI95","SDI90","freq"
"1","PN","--",798,798,798,491,100
"2","PN","AF",1082,657,641,574.7,218
"3","PN","BM",1122,624,571,498,1726
"4","PN","CH",612,592,540,486,210
"5","PN","CW",707,687.2,546,475.5,96
"6","PN","DF",45805,716,630,540,56754
"7","PN","DG",594,594,540,496,128
"8","PN","ES",632,632,571.65,530.2,38
"9","PN","GC",731,731,686,606,248
"10","PN","GF",742,594,530,493,384
"11","PN","IC",763,744,681.299999999999,532,632
"12","PN","LP",887,675,649,506.000000000003,578
"13","PN","MH",45805,744,663,572,3004
"14","PN","NF",705,675,630,529,302
"15","PN","OT",724,603,539,452,532
"16","PN","PP",762,762,653,569,224
"17","PN","PY",528,528,528,528,8
"18","PN","RA",1122,686,593,498.900000000001,7132
"19","PN","RC",1122,700,657,587,2164
"20","PN","RF",609,582,582,546,524
"21","PN","RW",515,515,515,492.5,36
"22","PN","SF",1338,1056,713,584,1132
"23","PN","SP",481,466.48,414.45,401,62
"24","PN","SS",798,715,595.5,519,546
"25","PN","WA",770,631.32,582,531,460
"26","PN","WF",867,580,530,502,450
"27","PN","WH",45805,763,665,582,10576
"28","PN","WO",693,693,482,434,134
"29","PN","WP",580,580,565.149999999999,433,64
"30","PN","YC",700,697.42,571,520.4,52
"31","WC","--",1341,798,563,518,278
"32","WC","AF",737,734,663,578,364
"33","WC","BM",1309,625,572,520,2824
"34","WC","CH",785,721,581,538,298
"35","WC","CW",818,744,685,558,202
"36","WC","DF",1341,731,644,571,105922
"37","WC","DG",594,594,540,496,206
"38","WC","ES",832,832,670,582.6,532
"39","WC","GC",731,686,606,548,354
"40","WC","GF",742,617.799999999999,585,508,754
"41","WC","IC",763,716,675,572,1108
"42","WC","LP",887,675,653,580,1768
"43","WC","MH",1338,708,645.599999999999,576,9918
"44","WC","NF",949,800,721,647,1016
"45","WC","OT",724,645.08,503,446.300000000001,358
"46","WC","PB",679,679,575.499999999999,449,30
"47","WC","PP",762,653,587,534.9,1418
"48","WC","PY",680,680,680,549,156
"49","WC","RA",1122,741,641,558,6774
"50","WC","RC",1309,738,667,618,3084
"51","WC","RF",724,609,584.75,537,426
"52","WC","SF",1338,816,693,611,5422
"53","WC","SP",537,537,537,403.1,134
"54","WC","SS",798,718,594,519,326
"55","WC","WA",770,636,610,533.8,1172
"56","WC","WF",867,630,580,523,1700
"57","WC","WH",1341,734,663,594,17778
"58","WC","WJ",39,39,39,39,2
"59","WC","WO",693,630,543,445,716
"60","WC","WP",949,949,580,554,336
"61","WC","YC",940,911.44,700,632,168
