Stand_CN,Stand_ID,Variant
101,7797,PN
1013,11165,WC
1016,6305,WC
1016,6424,WC
1017,6306,WC
1017,6308,WC
1017,6318,WC
1017,6322,WC
1017,6332,WC
1017,6334,WC
1017,6342,WC
1017,6354,WC
1017,6365,WC
1017,6376,WC
1017,6381,WC
1017,6384,WC
1017,6388,WC
1017,6406,WC
1017,6407,WC
1022,11121,WC
1022,11136,WC
1022,11153,WC
1022,11213,WC
1022,11219,WC
1022,11245,WC
10298,8870,WC
10298,8899,WC
10298,8906,WC
10298,8947,WC
10298,8981,WC
10298,9104,WC
10298,9125,WC
10298,9138,WC
10298,9185,WC
1030,11185,PN
10302,9504,WC
10302,9511,WC
10302,9525,WC
10302,9534,WC
10302,9536,WC
10302,9555,WC
10302,9563,WC
10302,9566,WC
10302,9572,WC
10302,9596,WC
10365,9788,WC
10410,9503,WC
105,7705,PN
105,7732,PN
105,7761,PN
105,7765,PN
105,7778,PN
105,7782,PN
105,7786,PN
105,7813,PN
105,7814,PN
105,7827,PN
1050,11132,PN
1050,11139,PN
1053,11155,PN
1053,11232,PN
1053,11233,PN
1053,11234,PN
10597,10441,PN
10597,5540,PN
10597,5722,PN
10606,10435,PN
1062,6312,WC
1062,6383,WC
1062,6405,WC
10683,10394,PN
10683,10434,PN
10683,10443,PN
10683,10462,PN
10683,1205,PN
10683,5819,PN
10683,5867,PN
10683,5942,PN
10683,6144,PN
10706,1357,PN
10706,1395,PN
10706,5985,PN
107068,11128,WC
107068,11130,WC
107068,11152,WC
107068,11169,WC
107068,11173,WC
107068,11177,WC
107068,11178,WC
107068,11190,WC
107068,11193,WC
107068,11195,WC
107068,11196,WC
107068,11198,WC
107068,11214,WC
107068,11225,WC
107071,11181,PN
107084,11220,PN
107086,6364,WC
107138,5019,PN
107138,5023,PN
107138,6299,PN
107152,5109,PN
107152,5122,PN
107152,5132,PN
107152,5172,PN
107172,2592,PN
107172,4970,PN
107172,7205,PN
107180,474,PN
107184,4272,PN
107185,6548,PN
107186,730,PN
107186,741,PN
107186,750,PN
107186,752,PN
107188,5000,PN
107201,5076,PN
107201,5077,PN
107201,5089,PN
107201,5103,PN
107201,5117,PN
107201,5119,PN
107201,5142,PN
107201,5150,PN
107204,5138,PN
107205,5065,PN
107205,5078,PN
107205,5083,PN
107205,5090,PN
107205,5124,PN
107205,5176,PN
107207,5007,PN
107207,5097,PN
107212,291,PN
107212,314,PN
107212,684,PN
107212,704,PN
107212,785,PN
107226,366,PN
107226,372,PN
107226,375,PN
107226,402,PN
107226,6895,PN
107226,6949,PN
107226,7037,PN
107226,7145,PN
107226,7167,PN
107226,7197,PN
107226,7210,PN
107226,7282,PN
107230,273,PN
107230,290,PN
107230,309,PN
107230,327,PN
107230,333,PN
107230,334,PN
107230,340,PN
107230,96,PN
107245,4683,PN
107245,4747,PN
107245,7971,PN
107245,7990,PN
107245,8225,PN
107245,8287,PN
107245,8326,PN
107245,8532,PN
107245,8603,PN
107245,8667,PN
107245,8699,PN
107245,8778,PN
107245,8814,PN
107245,8815,PN
107246,5069,PN
107246,5082,PN
107246,5100,PN
107246,5166,PN
107249,4388,PN
107252,103,PN
107252,5127,PN
10726,10023,PN
107266,484,PN
107266,6922,PN
107266,7144,PN
107266,7245,PN
107266,7259,PN
107281,680,PN
107281,686,PN
107281,729,PN
107281,766,PN
107287,690,PN
107316,4713,PN
107316,664,PN
107316,8340,PN
107329,7576,PN
107329,7581,PN
107329,7592,PN
107330,2837,PN
107330,3192,PN
107330,3426,PN
107330,3445,PN
107330,3604,PN
107330,3683,PN
107330,818,PN
107330,832,PN
107330,850,PN
107330,860,PN
107330,866,PN
107333,2796,PN
107333,2816,PN
107333,3283,PN
107333,3367,PN
107333,3490,PN
107335,2384,PN
107335,4566,PN
107335,4569,PN
107335,4575,PN
107335,4590,PN
107335,4599,PN
107335,4617,PN
107335,4624,PN
107335,4676,PN
107335,4709,PN
107335,4753,PN
107335,4758,PN
107335,4759,PN
107335,4762,PN
107335,4770,PN
107335,4773,PN
107335,4775,PN
107335,4780,PN
107335,6988,PN
107335,6996,PN
107335,7234,PN
107335,7288,PN
107335,7807,PN
107335,7888,PN
107335,8109,PN
107335,8165,PN
107335,8191,PN
107335,8195,PN
107335,8211,PN
107335,8228,PN
107335,8233,PN
107335,8273,PN
107335,8297,PN
107335,8305,PN
107335,8376,PN
107335,8436,PN
107335,8511,PN
107335,8512,PN
107335,8551,PN
107335,8559,PN
107335,8598,PN
107335,8602,PN
107335,8613,PN
107335,8635,PN
107335,8642,PN
107335,8646,PN
107335,8653,PN
107335,8656,PN
107335,8681,PN
107335,8689,PN
107335,8708,PN
107335,8724,PN
107335,8740,PN
107335,8755,PN
107335,8787,PN
107335,8797,PN
