"Stand_CN","Stand_ID","Variant","Inv_Year","Groups","AddFiles","FVSKeywords","Latitude","Longitude","Region","Forest","District","Compartment","Location","Ecoregion","PV_Code","PV_Ref_Code","Age","Aspect","Slope","Elevation","ElevFt","Basal_Area_Factor","Inv_Plot_Size","Brk_DBH","Num_Plots","NonStk_Plots","Sam_Wt","Stk_Pcnt","DG_Trans","DG_Measure","HTG_Trans","HTG_Measure","Mort_Measure","Max_Ba","Max_SDI","Site_Species","Site_Index","Model_Type","Physio_Region","Forest_Type","County","Fuel_Model","Fuel_0_25","Fuel_25_1","Fuel_0_1","Fuel_1_3","Fuel_3_6","Fuel_6_12","Fuel_gt_12","Fuel_Litter","Fuel_Duff","Photo_Ref","Photo_code","GIS_ID","state","streamType","streamSize"
"132728","1","OP",2014,"0",,,,,6,12,,,612,,"CDS522",,42,176.29,59.99,,317.84,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",119.00,,,,,,,,,,,,,,,,,1,"OR",,
"30425","10","OP",2014,"0",,,,,6,12,,,612,,"CHS123",,59,163.79,59.31,,265.81,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",119.00,,,,,,,,,,,,,,,,,10,"OR","N",
"84694","100","OP",2014,"0",,,,,6,12,,,612,,"CHF142",,50,137.85,62.20,,263.87,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",119.00,,,,,,,,,,,,,,,,,100,"OR","N",
"83927","1000","OP",2014,"0",,,,,6,12,,,612,,"CHS230",,68,212.57,11.06,,293.48,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",124.85,,,,,,,,,,,,,,,,,1000,"OR",,
"86559","10000","OP",2014,"0",,,,,6,9,,,609,,,,83,68.00,9.00,,68.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10000,"OR",,
"86559","10001","OP",2014,"0",,,,,6,9,,,609,,,,83,36.00,4.00,,36.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10001,"WA",,
"89133","10002","OP",2014,"0",,,,,6,9,,,609,,"CHS137",,25,0.00,1.00,,0.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10002,"OR",,
"87155","10003","OP",2014,"0",,,,,6,5,,,605,,"CHS138",,69,107.00,7.00,,107.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",120.00,,,,,,,,,,,,,,,,"Y",10003,"WA",,
"89714","10004","OP",2014,"0",,,,,6,9,,,609,,"CHF131",,67,156.00,0.00,,156.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",127.00,,,,,,,,,,,,,,,,"Y",10004,"OR",,
"84526","10005","OP",2014,"0",,,,,6,9,,,609,,"CH",,17,189.00,6.00,,189.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",122.00,,,,,,,,,,,,,,,,"Y",10005,"OR",,
"136223","10006","OP",2014,"0",,,,,6,9,,,609,,"CSF1",,12,188.00,1.00,,188.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",122.00,,,,,,,,,,,,,,,,"Y",10006,"WA",,
"85837","10007","OP",2014,"0",,,,,6,9,,,609,,,,22,50.00,2.00,,50.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",122.00,,,,,,,,,,,,,,,,"Y",10007,"OR",,
"89503","10008","OP",2014,"0",,,,,6,9,,,609,,"CHS624",,27,336.00,2.00,,336.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",127.00,,,,,,,,,,,,,,,,"Y",10008,"OR",,
"89503","10009","OP",2014,"0",,,,,6,9,,,609,,"CHS624",,27,338.00,1.00,,338.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",123.00,,,,,,,,,,,,,,,,"Y",10009,"OR",,
"80562","1001","OP",2014,"0",,,,,6,3,,,603,,"CHS113",,54,124.94,6.56,,225.34,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",124.56,,,,,,,,,,,,,,,,,1001,"OR",,
"85690","10010","OP",2014,"0",,,,,6,9,,,609,,"CHS334",,45,159.00,0.00,,159.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",127.00,,,,,,,,,,,,,,,,"Y",10010,"OR",,
"89133","10012","OP",2014,"0",,,,,6,9,,,609,,"CHS137",,25,111.00,1.00,,111.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10012,"WA",,
"128156","10013","OP",2014,"0",,,,,6,9,,,609,,"CHS137",,9,348.00,3.00,,348.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",127.00,,,,,,,,,,,,,,,,"Y",10013,"OR",,
"146448","10014","OP",2014,"0",,,,,6,9,,,609,,"CSS7",,52,92.00,1.00,,92.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",121.00,,,,,,,,,,,,,,,,"Y",10014,"OR",,
"131191","10015","OP",2014,"0",,,,,6,3,,,603,,"CD",,168,37.00,9.00,,37.00,0.00,1.00,999.00,1,0,1.00,,,,,,,,,"DF",122.00,,,,,,,,,,,,,,,,"Y",10015,"OR",,
