"standid","conv_yr"
"1",2024
"10",2014
"100",2014
"1000",2014
"10000",2014
"10001",2014
"10002",2019
"10003",2014
"10004",2014
"10005",2014
"10006",2034
"10007",2014
"10008",2014
"10009",2014
"1001",2014
"10010",2014
"10012",2019
"10013",2014
"10014",2014
"10015",2014
"10016",2014
"10017",2014
"10018",2014
"10019",2014
"1002",2014
"10020",2014
"10021",2014
"10022",2014
"10023",2014
"10024",2029
"10025",2014
"10026",2014
"10027",2019
"10028",2034
"10029",2014
"1003",2014
"10030",2034
"10031",2024
"10032",2014
"10033",2014
"10034",2024
"10035",2014
"10036",2019
"10037",2014
"10038",2014
"10039",2014
"1004",2034
"10040",2014
"10041",2019
"10042",2014
"10043",2014
"10044",2014
"10045",2014
"10046",2014
"10047",2034
"10048",2014
"10049",2014
"1005",2039
"10050",2014
"10051",2014
"10052",2014
"10053",2014
"10054",2014
"10055",2014
"10056",2029
"10057",2034
"10058",2014
"10059",2019
"1006",2029
"10060",2019
"10061",2014
"10062",2014
"10063",2014
"10064",2034
"10065",2014
"10066",2014
"10067",2019
"10068",2014
"10069",2014
"1007",2039
"10070",2019
"10071",2019
"10072",2024
"10073",2019
"10074",2014
"10075",2014
"10076",2014
"10077",2014
"10078",2014
"10079",2014
"1008",2014
"10081",2039
"10082",2034
"10083",2014
"10084",2014
"10085",2014
"10086",2014
"10087",2014
"10088",2014
"1009",2014
"10090",2014
"10091",2014
"10092",2014
"10094",2014
"10095",2014
"10096",2014
"10097",2014
"10098",2014
"10099",2014
"101",2014
"1010",2024
"10102",2014
"10103",2014
"10104",2014
"10105",2014
"10106",2014
"10107",2014
"10108",2014
"10109",2014
"10111",2014
"10112",2014
"10113",2014
"10114",2014
"10115",2014
"10116",2014
"10117",2039
"10118",2014
"10119",2014
"1012",2014
"10120",2014
"10121",2014
"10122",2014
"10123",2014
"10124",2019
"10125",2014
"10126",2014
"10127",2014
"10128",2014
"10129",2014
"1013",2014
"10130",2014
"10131",2014
"10132",2014
"10133",2014
"10134",2014
"10135",2014
"10136",2014
"10137",2014
"10138",2014
"10139",2014
"1014",2034
"10140",2014
"10141",2014
"10142",2014
"10143",2014
"10144",2014
"10146",2014
"10147",2014
"10148",2014
"1015",2039
"10150",2014
"10151",2014
"10152",2014
"10153",2014
"10154",2014
"10155",2024
"10156",2014
"10157",2014
"10158",2014
"10159",2014
"1016",2039
"10160",2014
"10161",2014
"10162",2014
"10163",2014
"10164",2014
"10165",2014
"10166",2014
"10167",2014
"10168",2014
"10169",2014
"1017",2014
"10170",2014
"10171",2014
"10172",2014
"10173",2014
"10174",2014
"10175",2014
"10176",2014
"10177",2014
"10178",2014
"10179",2014
"1018",2039
"10180",2014
"10181",2014
"10182",2014
"10183",2014
"10184",2014
"10185",2014
"10186",2014
"10188",2014
"10189",2014
"1019",2014
"10190",2014
"10191",2014
"10192",2014
"10193",2014
