"standid","parcelid","acres","core","fl","fm","fs","nl","nm","ns","sm","ss","wa_inner","wa_outer","fsc","parcelacres","fsccore","baucore","nonrip_fsc","nonrip_bau","baurip_nc","state"
"1549",51,"5","0","0","0","0","0","0","0","0","0","0","0","0","293","0","0","5","5","0","WA"
"1550",51,"5","0.35","0","0","0","0","0","0","0","0","0","0.32","0.91","293","1.25","0.35","3.74","4.33","0.67","WA"
"1551",51,"4.4","0","0","0","0","0","0","0","0","0","0","0","0","293","0","0","4.36","4.36","0","WA"
"1552",51,"5","0","0","0","0","0","0","0","0","0","0","0","0","293","0","0","5","5","0","WA"
"1553",51,"5","0","0","0","0","0","0","0","0","0","0","0","0","293","0","0","5","5","0","WA"
"1554",51,"0.7","0.15","0","0","0","0","0","0","0","0","0","0","0.15","293","0.3","0.15","0.37","0.52","0.15","WA"
"1555",51,"4","0.27","0","0","0","0","0","0","0","0","0","0.07","0.18","293","0.45","0.27","3.56","3.67","0.34","WA"
"1556",51,"5","0.21","0","0","0","0","0","0","0","0","0.2","0.05","0.35","293","0.56","0.21","4.42","4.51","0.46","WA"
"1557",51,"5","0.47","0","0","0","0","0","0","0","0","0","0.39","1.33","293","1.8","0.47","3.2","4.14","0.86","WA"
"1558",51,"0.9","0","0","0","0","0","0","0","0","0","0","0","0","293","0","0","0.9","0.9","0","WA"
"1559",51,"5","0","0","0","0","0","0","0","0","0","0","0","0","293","0","0","5","5","0","WA"
"1560",51,"4.4","0.25","0","0","0","0","0","0","0","0","0","0.81","0.09","293","0.34","0.25","4.04","3.32","1.06","WA"
"1561",51,"4.6","0.92","0","0","0","0","0","0","0","0","0.05","0","0.57","293","1.48","0.92","3.13","3.66","0.96","WA"
"1562",51,"5","0","0","0","0","0","0","0","0","0","0","0","0","293","0","0","5","5","0","WA"
"1563",53,"2.7","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","2.66","2.66","0","OR"
"1564",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1565",53,"5","0.42","0","0","0.42","0","0","0","0","0","0","0","0.42","3669","0.85","0.42","4.15","4.15","0.85","OR"
"1566",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1567",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1568",53,"3.4","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","3.4","3.4","0","OR"
"1569",53,"5","0.47","0","0.47","0","0","0","0","0","0","0","0","0.47","3669","0.94","0.47","4.06","4.06","0.94","OR"
"1570",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1571",53,"3.3","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","3.35","3.35","0","OR"
"1572",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1573",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1574",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1575",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1576",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1577",53,"5","0.1","0","0.1","0","0","0","0","0","0","0","0","0.1","3669","0.19","0.1","4.8","4.8","0.19","OR"
"1578",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1579",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1580",53,"3.4","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","3.4","3.4","0","OR"
"1581",53,"5","0.32","0","0.32","0","0","0","0","0","0","0","0","0.32","3669","0.63","0.32","4.36","4.36","0.63","OR"
"1582",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","4.97","4.97","0","OR"
"1583",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1584",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1585",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1586",53,"5","0.36","0.36","0","0","0","0","0","0","0","0","0","0.36","3669","0.72","0.36","4.28","4.28","0.72","OR"
"1587",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1588",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1589",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1590",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1591",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1592",53,"0.2","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","0.19","0.19","0","OR"
"1593",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1594",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1595",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1596",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1597",53,"5","0.09","0","0.09","0","0","0","0","0","0","0","0","0.09","3669","0.18","0.09","4.81","4.81","0.18","OR"
"1598",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1599",53,"5","0.46","0","0.46","0","0","0","0","0","0","0","0","0.46","3669","0.93","0.46","4.07","4.07","0.93","OR"
"1600",53,"5","0.35","0","0.35","0","0","0","0","0","0","0","0","0.35","3669","0.69","0.35","4.3","4.3","0.69","OR"
"1601",53,"2.8","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","2.84","2.84","0","OR"
"1602",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1603",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1604",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1605",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1606",53,"3.7","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","3.66","3.66","0","OR"
"1607",53,"0.6","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","0.57","0.57","0","OR"
"1608",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1609",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1610",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1611",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1612",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1613",53,"1.6","0.18","0","0.18","0","0","0","0","0","0","0","0","0.18","3669","0.36","0.18","1.24","1.24","0.36","OR"
"1614",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1615",53,"4.6","0.49","0","0.49","0","0","0","0","0","0","0","0","0.49","3669","0.98","0.49","3.64","3.64","0.98","OR"
"1616",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1617",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1618",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1619",53,"0.5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","0.47","0.47","0","OR"
"1620",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1621",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1622",53,"5","0.02","0","0","0","0","0","0","0","0","0","0","0","3669","0.02","0.02","4.98","4.98","0.02","OR"
"1623",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1624",53,"0","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","0","0","0","OR"
"1625",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1626",53,"5","0.02","0","0","0","0","0","0","0","0","0","0","0","3669","0.02","0.02","4.98","4.98","0.02","OR"
"1627",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1628",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1629",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1630",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1631",53,"0.1","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","0.09","0.09","0","OR"
"1632",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1633",53,"5","0.48","0","0.29","0","0","0","0","0","0","0","0","0.29","3669","0.77","0.48","4.22","4.22","0.77","OR"
"1634",53,"1.1","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","1.12","1.12","0","OR"
"1635",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1636",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1637",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1638",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1639",53,"4.7","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","4.73","4.73","0","OR"
"1640",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
