Source,ID,Location,Plot,si100,siteclass,si50,age,bdft,tcuft,ba,qmd,topht,tpa
Williamson_1963,Mount Hood_1,Mount Hood,1,134,3,,45,13267,5798,175.6,9.4,,364
Williamson_1963,Mount Hood_1,Mount Hood,1,134,3,,50,19271,6659,188.1,10.3,,326
Williamson_1963,Mount Hood_1,Mount Hood,1,134,3,,55,23414,6968,189.7,11.4,,269
Williamson_1963,Mount Hood_1,Mount Hood,1,134,3,,60,28136,7635,198.2,12.6,,230
Williamson_1963,Mount Hood_1,Mount Hood,1,134,3,,67,34028,8417,210.7,13.7,,206
Williamson_1963,Mount Hood_2,Mount Hood,2,129,3,,45,9755,7144,226.8,9.2,,493
Williamson_1963,Mount Hood_2,Mount Hood,2,129,3,,50,16866,8165,239.2,9.9,,443
Williamson_1963,Mount Hood_2,Mount Hood,2,129,3,,55,22673,8811,246.5,10.8,,389
Williamson_1963,Mount Hood_2,Mount Hood,2,129,3,,60,30232,9657,255.3,11.6,,347
Williamson_1963,Mount Hood_2,Mount Hood,2,129,3,,67,35894,10607,269.4,12.3,,325
Williamson_1963,Mount Hood_3,Mount Hood,3,139,3,,45,11301,6709,214.9,9.1,,481
Williamson_1963,Mount Hood_3,Mount Hood,3,139,3,,50,17142,7449,225.6,9.7,,439
Williamson_1963,Mount Hood_3,Mount Hood,3,139,3,,55,23390,8261,231.8,10.7,,368
Williamson_1963,Mount Hood_3,Mount Hood,3,139,3,,60,31347,9355,242.1,11.6,,328
Williamson_1963,Mount Hood_3,Mount Hood,3,139,3,,67,38913,10358,256.6,12.5,,303
Williamson_1963,Olympic_1,Olympic,1,130,3,,51,14460,6265,191.0,8.9,92,444
Williamson_1963,Olympic_1,Olympic,1,130,3,,56,18640,6945,203.2,9.7,99,400
Williamson_1963,Olympic_1,Olympic,1,130,3,,61,23260,7725,214.7,10.4,102,365
Williamson_1963,Olympic_1,Olympic,1,130,3,,66,25976,8194,224.8,11.4,103,318
Williamson_1963,Olympic_1,Olympic,1,130,3,,71,30382,8726,230.4,12.0,106,291
Williamson_1963,Olympic_1,Olympic,1,130,3,,81,42049,10544,259.0,13.1,118,278
Williamson_1963,Olympic_2,Olympic,2,128,3,,51,10590,5925,178.0,9.0,92,403
Williamson_1963,Olympic_2,Olympic,2,128,3,,56,14370,6585,182.3,9.7,100,357
Williamson_1963,Olympic_2,Olympic,2,128,3,,61,19180,7325,194.3,10.2,107,341
Williamson_1963,Olympic_2,Olympic,2,128,3,,66,22601,7710,198.7,11.0,110,299
Williamson_1963,Olympic_2,Olympic,2,128,3,,71,26521,8142,206.6,11.7,111,279
Williamson_1963,Olympic_2,Olympic,2,128,3,,81,36289,9292,221.4,12.7,116,252
Williamson_1963,Olympic_3,Olympic,3,118,4,,42,1970,4440,162.2,6.5,79,714
Williamson_1963,Olympic_3,Olympic,3,118,4,,47,4000,5125,171.6,6.9,84,655
Williamson_1963,Olympic_3,Olympic,3,118,4,,52,6980,5475,177.6,7.6,86,557
Williamson_1963,Olympic_3,Olympic,3,118,4,,57,9913,6320,185.2,8.3,92,498
Williamson_1963,Olympic_3,Olympic,3,118,4,,62,11689,6242,179.9,8.9,94,412
Williamson_1963,Olympic_3,Olympic,3,118,4,,72,17351,7070,191.3,10.1,101,344
Williamson_1963,Olympic_4,Olympic,4,116,4,,42,980,5920,194.3,6.1,78,944
Williamson_1963,Olympic_4,Olympic,4,116,4,,47,2340,6370,195.4,6.9,84,748
Williamson_1963,Olympic_4,Olympic,4,116,4,,52,5443,6803,202.5,7.6,88,645
Williamson_1963,Olympic_4,Olympic,4,116,4,,57,9905,7466,208.4,8.3,92,559
Williamson_1963,Olympic_4,Olympic,4,116,4,,62,13105,7683,209.5,9.0,94,476
Williamson_1963,Olympic_4,Olympic,4,116,4,,72,20245,8780,228.7,10.2,99,401
Williamson_1963,Pinchot_1,Pinchot,1,181,2,,55,56270,12490,271.3,15.6,130,205
Williamson_1963,Pinchot_1,Pinchot,1,181,2,,60,67900,13900,286.1,17.1,,180
Williamson_1963,Pinchot_1,Pinchot,1,181,2,,66,77830,15375,297.5,18.2,148,164
Williamson_1963,Pinchot_1,Pinchot,1,181,2,,76,100742,19405,322.4,19.9,163,150
Williamson_1963,Pinchot_1,Pinchot,1,181,2,,91,103412,18629,326.0,20.7,166,140
Williamson_1963,Pinchot_2,Pinchot,2,175,2,,50,27900,8520,223.7,11.8,,295
Williamson_1963,Pinchot_2,Pinchot,2,175,2,,55,37350,10080,246.4,12.7,,282
Williamson_1963,Pinchot_2,Pinchot,2,175,2,,60,44430,10920,258.3,14.2,,236
Williamson_1963,Pinchot_2,Pinchot,2,175,2,,66,57831,12605,266.7,16.0,,192
Williamson_1963,Pinchot_2,Pinchot,2,175,2,,76,75078,15110,290.5,17.6,,172
Williamson_1963,Pinchot_2,Pinchot,2,175,2,,81,84344,16325,302.1,18.4,,163
Williamson_1963,Pinchot_3,Pinchot,3,174,2,,50,36920,10180,243.7,13.2,117,256
Williamson_1963,Pinchot_3,Pinchot,3,174,2,,55,45380,11680,267.9,14.0,121,250
Williamson_1963,Pinchot_3,Pinchot,3,174,2,,60,57000,12980,279.3,15.4,,215
Williamson_1963,Pinchot_3,Pinchot,3,174,2,,66,66034,14039,289.0,16.8,,188
Williamson_1963,Pinchot_3,Pinchot,3,174,2,,76,83914,16042,294.0,18.8,,152
Williamson_1963,Pinchot_3,Pinchot,3,174,2,,81,82029,15353,281.9,19.9,159,131
Williamson_1963,Pinchot_4,Pinchot,4,172,2,,56,32410,8460,208.3,12.5,116,243
Williamson_1963,Pinchot_4,Pinchot,4,172,2,,61,39900,9590,225.4,13.5,124,227
Williamson_1963,Pinchot_4,Pinchot,4,172,2,,66,50190,11110,242.1,14.5,136,211
Williamson_1963,Pinchot_4,Pinchot,4,172,2,,72,58791,12288,251.9,16.1,,179
Williamson_1963,Pinchot_4,Pinchot,4,172,2,,82,77868,14792,276.1,,160,
Williamson_1963,Pinchot_4,Pinchot,4,172,2,,87,82350,15414,288.0,,162,
Williamson_1963,Pinchot_5,Pinchot,5,185,2,,53,40330,9600,245.7,15.6,118,186
Williamson_1963,Pinchot_5,Pinchot,5,185,2,,57,47170,10770,255.6,15.2,124,203
Williamson_1963,Pinchot_5,Pinchot,5,185,2,,62,58550,12380,,,136,176
Williamson_1963,Pinchot_5,Pinchot,5,185,2,,68,67292,13389,279.9,18.7,,147
Williamson_1963,Pinchot_5,Pinchot,5,185,2,,78,95608,17042,298.9,20.9,169,126
Williamson_1963,Pinchot_5,Pinchot,5,185,2,,83,98919,16542,307.8,21.7,171,120
Williamson_1963,Pinchot_7,Pinchot,7,176,2,,52,33470,9220,,,123,272
Williamson_1963,Pinchot_7,Pinchot,7,176,2,,56,40550,10370,238.7,,127,
Williamson_1963,Pinchot_7,Pinchot,7,176,2,,61,48490,11270,246.1,14.1,,227
Williamson_1963,Pinchot_7,Pinchot,7,176,2,,67,60772,13177,262.3,15.0,146,215
Williamson_1963,Pinchot_7,Pinchot,7,176,2,,77,80872,15901,286.9,16.6,163,192
Williamson_1963,Pinchot_7,Pinchot,7,176,2,,82,85339,15786,294.4,17.4,164,178
Williamson_1963,Pinchot_9,Pinchot,9,137,3,,58,22810,7940,222.2,9.9,99,416
Williamson_1963,Pinchot_9,Pinchot,9,137,3,,62,27170,8460,231.8,,101,
Williamson_1963,Pinchot_9,Pinchot,9,137,3,,67,33080,9460,237.7,11.7,108,321
Williamson_1963,Pinchot_9,Pinchot,9,137,3,,73,38905,10983,256.7,12.5,117,301
Williamson_1963,Pinchot_9,Pinchot,9,137,3,,83,49956,12176,280.7,13.7,124,273
Williamson_1963,Pinchot_9,Pinchot,9,137,3,,88,56129,13001,289.8,14.4,130,257
Williamson_1963,Siuslaw_4,Siuslaw,4,174,2,,50,48350,11980,304.7,12.5,,358
Williamson_1963,Siuslaw_4,Siuslaw,4,174,2,,55,61620,14150,338.5,14.1,,311
Williamson_1963,Siuslaw_4,Siuslaw,4,174,2,,60,71870,15520,353.3,15.7,,263
Williamson_1963,Siuslaw_4,Siuslaw,4,174,2,,65,81510,16890,370.6,16.5,,251
Williamson_1963,Siuslaw_4,Siuslaw,4,174,2,,70,100840,19435,399.0,17.4,,241
Williamson_1963,Siuslaw_4,Siuslaw,4,174,2,,75,111110,21120,412.9,19.1,,208
Williamson_1963,Siuslaw_4,Siuslaw,4,174,2,,80,119726,22125,425.0,20.3,,190
Williamson_1963,Siuslaw_4,Siuslaw,4,174,2,,95,134028,24253,450.9,20.9,,190
